entity,label
no. 11,CARDINAL
1995 13,DATE
31,DATE
1,CARDINAL
one year,DATE
fourteen days,DATE
2,CARDINAL
3,CARDINAL
2,CARDINAL
english,LANGUAGE
english,LANGUAGE
4,CARDINAL
3,CARDINAL
sri lanka,GPE
5,CARDINAL
no. 11,CARDINAL
6,CARDINAL
1,CARDINAL
section 32,LAW
33,CARDINAL
34,CARDINAL
a day,DATE
32,DATE
1,CARDINAL
sri lanka,GPE
sixty days,DATE
sri lanka,GPE
sri lanka,GPE
2,CARDINAL
33,CARDINAL
section 34,LAW
34,CARDINAL
1,CARDINAL
no. 11,CARDINAL
1995 16,DATE
sri lanka,GPE
sri lanka,GPE
2,CARDINAL
1,CARDINAL
35,CARDINAL
1,CARDINAL
2,CARDINAL
section 32,LAW
section 34,LAW
arbitration,ORG
no. 11,CARDINAL
1995 17,DATE
36,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
37,DATE
1,CARDINAL
2,CARDINAL
2,CARDINAL
1,CARDINAL
the supreme court,ORG
the supreme court,ORG
3,CARDINAL
the supreme court,ORG
2,CARDINAL
4,CARDINAL
38,DATE
1,CARDINAL
the supreme court,ORG
2,CARDINAL
section 37,LAW
2,CARDINAL
no. 11,CARDINAL
3,CARDINAL
39,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
2,CARDINAL
third,ORDINAL
4,CARDINAL
2,CARDINAL
40,DATE
1,CARDINAL
no. 11,CARDINAL
2,CARDINAL
a day,DATE
