entity,label
23,CARDINAL
24,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
1,CARDINAL
2,CARDINAL
no. 11,CARDINAL
4,CARDINAL
25,CARDINAL
1,CARDINAL
more than one,CARDINAL
2,CARDINAL
section 14,LAW
3,CARDINAL
section 16,LAW
4,CARDINAL
1,CARDINAL
26,CARDINAL
27,CARDINAL
1,CARDINAL
fourteen days,DATE
no. 11,CARDINAL
2,CARDINAL
fourteen days,DATE
3,CARDINAL
1,CARDINAL
fourteen days,DATE
4,CARDINAL
fourteen days,DATE
thirty days,DATE
5,CARDINAL
section 26,LAW
28,CARDINAL
29,CARDINAL
1,CARDINAL
1995 12,DATE
2,CARDINAL
one month,DATE
3,CARDINAL
4,CARDINAL
5,CARDINAL
6,CARDINAL
30,CARDINAL
no. 11,CARDINAL
1995 13,DATE
31,DATE
1,CARDINAL
one year,DATE
fourteen days,DATE
2,CARDINAL
3,CARDINAL
2,CARDINAL
english,LANGUAGE
english,LANGUAGE
4,CARDINAL
3,CARDINAL
sri lanka,GPE
5,CARDINAL
