entity,label
3.,CARDINAL
1,CARDINAL
2,CARDINAL
4,CARDINAL
5,CARDINAL
part iii composition,PERSON
6,CARDINAL
1,CARDINAL
3,CARDINAL
2,CARDINAL
three,CARDINAL
3,CARDINAL
1,CARDINAL
3,CARDINAL
no. 11 of 1995,CARDINAL
2,CARDINAL
three,CARDINAL
one,CARDINAL
two,CARDINAL
third,ORDINAL
sixty days,DATE
two,CARDINAL
third,ORDINAL
sixty days,DATE
3,CARDINAL
third,ORDINAL
third,ORDINAL
4,CARDINAL
8,CARDINAL
1,CARDINAL
arbitration,ORG
no. 11,CARDINAL
2,CARDINAL
3,CARDINAL
9,CARDINAL
section 8,LAW
10,CARDINAL
1,CARDINAL
first,ORDINAL
2,CARDINAL
3,CARDINAL
first,ORDINAL
thirty days,DATE
4,CARDINAL
thirty days,DATE
no. 11,CARDINAL
1995 5,DATE
11,CARDINAL
1,CARDINAL
