entity,label
3,CARDINAL
section 25,LAW
4,CARDINAL
15,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
4,CARDINAL
no. 11,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
17,CARDINAL
18,CARDINAL
19,CARDINAL
1,CARDINAL
2,CARDINAL
no. 11,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
21,CARDINAL
1,CARDINAL
2,CARDINAL
"1),unless",CARDINAL
3,CARDINAL
1,CARDINAL
1,CARDINAL
no. 11,CARDINAL
1,CARDINAL
1,CARDINAL
22,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
23,CARDINAL
24,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
1,CARDINAL
2,CARDINAL
no. 11,CARDINAL
4,CARDINAL
25,CARDINAL
1,CARDINAL
more than one,CARDINAL
2,CARDINAL
section 14,LAW
3,CARDINAL
section 16,LAW
4,CARDINAL
1,CARDINAL
