entity,label
3,CARDINAL
9,CARDINAL
section 8,LAW
10,CARDINAL
1,CARDINAL
first,ORDINAL
2,CARDINAL
3,CARDINAL
first,ORDINAL
thirty days,DATE
4,CARDINAL
thirty days,DATE
no. 11,CARDINAL
1995 5,DATE
11,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
12,CARDINAL
13,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
2,CARDINAL
section 5,LAW
no. 11,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
section 25,LAW
4,CARDINAL
15,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
4,CARDINAL
no. 11,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
17,CARDINAL
