entity,label
39,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
2,CARDINAL
third,ORDINAL
4,CARDINAL
2,CARDINAL
40,DATE
1,CARDINAL
no. 11,CARDINAL
2,CARDINAL
a day,DATE
3,CARDINAL
4,CARDINAL
1,CARDINAL
41,CARDINAL
section 31,LAW
6,CARDINAL
chapter 101,LAW
42,DATE
sri lanka,GPE
chapter 101,LAW
no. 11,CARDINAL
20 43,DATE
the supreme court,ORG
44,DATE
45,DATE
46,DATE
1,CARDINAL
2,CARDINAL
1,CARDINAL
no. 11,CARDINAL
1,CARDINAL
chapter 98,LAW
2,CARDINAL
693,CARDINAL
698,CARDINAL
chapter 101,LAW
48,DATE
sri lanka,GPE
