entity,label
3,CARDINAL
section 34a,LAW
4,CARDINAL
a period of,DATE
two years,DATE
35,CARDINAL
financial year,DATE
the last working day,DATE
such year,DATE
36,DATE
1,CARDINAL
the financial year,DATE
2,CARDINAL
the financial year,DATE
30,CARDINAL
first,ORDINAL
preceding financial year,DATE
37,CARDINAL
sri lanka,GPE
the current year,DATE
year,DATE
first,ORDINAL
preceding financial year,DATE
38,CARDINAL
1,CARDINAL
five months,DATE
its financial year,DATE
english,NORP
daily,DATE
§,NORP
199,CARDINAL
sri lanka,GPE
the financial year,DATE
15,CARDINAL
2,CARDINAL
2005,DATE
such financial year,DATE
sri lanka,GPE
31,CARDINAL
financial year,DATE
§,NORP
1995,DATE
2,CARDINAL
sri lanka,GPE
15,CARDINAL
2,CARDINAL
five months,DATE
its financial year,DATE
the financial year,DATE
such financial year,DATE
sri lanka,GPE
english,NORP
daily,DATE
sri lanka,GPE
financial year,DATE
3,CARDINAL
4,CARDINAL
six months of the date,DATE
its financial year,DATE
financial year,DATE
5,CARDINAL
3,CARDINAL
4,CARDINAL
section 17,LAW
1,CARDINAL
section 46,LAW
4,CARDINAL
38a,DATE
1,CARDINAL
1995,DATE
2,CARDINAL
1,CARDINAL
39,CARDINAL
1,CARDINAL
annually,DATE
22,CARDINAL
33 of 1995,DATE
under section 38a,DATE
32,DATE
sri lanka,GPE
sri lanka,GPE
2,CARDINAL
three months of the end of the financial year,DATE
3,CARDINAL
1,CARDINAL
2,CARDINAL
sri lanka,GPE
annual,DATE
sri lanka,GPE
3a,CARDINAL
3,CARDINAL
22,CARDINAL
33 of 1995,DATE
4,CARDINAL
1,CARDINAL
3,CARDINAL
33,CARDINAL
5,CARDINAL
1,CARDINAL
4,CARDINAL
6,CARDINAL
4,CARDINAL
8),CARDINAL
40,DATE
section 35,LAW
41,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
minutes,TIME
3,CARDINAL
2,CARDINAL
34,CARDINAL
42,DATE
1,CARDINAL
1995,DATE
2005,DATE
2,CARDINAL
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
35,CARDINAL
