entity,label
5,CARDINAL
1,CARDINAL
3,CARDINAL
33 of 1995,DATE
6,CARDINAL
1982,DATE
sri lanka,GPE
sri lanka,GPE
3,CARDINAL
1,CARDINAL
3,CARDINAL
2,CARDINAL
2,CARDINAL
the preceding three years,DATE
sri lanka,GPE
7,CARDINAL
sri lanka,GPE
3,CARDINAL
1,CARDINAL
4,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
section 5,LAW
5,CARDINAL
4,CARDINAL
twelve months,DATE
6,CARDINAL
4,CARDINAL
5,CARDINAL
4,CARDINAL
section 5,LAW
10,CARDINAL
section 5,LAW
8,CARDINAL
section 5,LAW
4,CARDINAL
8),CARDINAL
4,CARDINAL
section 5,LAW
9,CARDINAL
section 5,LAW
17,CARDINAL
1982,DATE
10,CARDINAL
section 5,LAW
sri lanka,GPE
9,CARDINAL
sri lanka,GPE
11,CARDINAL
4,CARDINAL
1,CARDINAL
sri lanka,GPE
section 3,LAW
sri lanka,GPE
sri lanka,GPE
united lanka,GPE
§ 5,DATE
33,CARDINAL
of1995,PRODUCT
2,CARDINAL
a period of,DATE
six months,DATE
10,CARDINAL
