entity,label
section 9,LAW
5,CARDINAL
4,CARDINAL
4,CARDINAL
section 30,LAW
11a,DATE
9,CARDINAL
10 and 11,CARDINAL
section 30,LAW
8,CARDINAL
33 of 1995,DATE
12,CARDINAL
1,CARDINAL
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
1a,CARDINAL
1,CARDINAL
1,CARDINAL
16,CARDINAL
1b,CARDINAL
1,CARDINAL
1,CARDINAL
1c,CARDINAL
1c,CARDINAL
2,CARDINAL
section 42,LAW
1c,CARDINAL
sri lanka,GPE
2,CARDINAL
ten,CARDINAL
2,CARDINAL
1,CARDINAL
section 12,LAW
17,CARDINAL
2,CARDINAL
1,CARDINAL
thirty days,DATE
3,CARDINAL
sixty days,DATE
2,CARDINAL
4,CARDINAL
1,CARDINAL
13a,DATE
1,CARDINAL
1,CARDINAL
section 12,LAW
2,CARDINAL
1,CARDINAL
14,CARDINAL
1,CARDINAL
8,CARDINAL
2,CARDINAL
2,CARDINAL
1,CARDINAL
18,CARDINAL
minutes,TIME
3,CARDINAL
2,CARDINAL
4,CARDINAL
minutes,TIME
2,CARDINAL
14a,DATE
17,CARDINAL
1982,DATE
33 of 1995,DATE
15,CARDINAL
section 5,LAW
section 12,LAW
16,CARDINAL
1,CARDINAL
9,CARDINAL
2,CARDINAL
2005,DATE
sri lanka,GPE
at least one,CARDINAL
sri lanka,GPE
sri lanka,GPE
2,CARDINAL
11,CARDINAL
33,CARDINAL
1995,DATE
3,CARDINAL
9,CARDINAL
33,CARDINAL
19,CARDINAL
section 127,LAW
section 127,LAW
1,CARDINAL
section 3 or section 76b,LAW
sri lanka,GPE
17,CARDINAL
1,CARDINAL
sri lanka,GPE
20,CARDINAL
sri lanka,GPE
2,CARDINAL
3,CARDINAL
4,CARDINAL
more than half,CARDINAL
first,ORDINAL
4,CARDINAL
one,CARDINAL
first,ORDINAL
21,CARDINAL
5,CARDINAL
6,CARDINAL
17a,DATE
1,CARDINAL
2,CARDINAL
fifty per cent,MONEY
9,CARDINAL
33,CARDINAL
1995,DATE
2,CARDINAL
1,CARDINAL
22,CARDINAL
1,CARDINAL
two years,DATE
3,CARDINAL
the securities and exchange commission,ORG
1987,DATE
part iii capital,PERSON
18,CARDINAL
sri lanka,GPE
19,CARDINAL
1,CARDINAL
3,CARDINAL
less than twenty-five million,CARDINAL
2,CARDINAL
sri lanka,GPE
sri lanka,GPE
23,CARDINAL
