entity,label
1,CARDINAL
two years,DATE
3,CARDINAL
the securities and exchange commission,ORG
1987,DATE
part iii capital,PERSON
18,CARDINAL
sri lanka,GPE
19,CARDINAL
1,CARDINAL
3,CARDINAL
less than twenty-five million,CARDINAL
2,CARDINAL
sri lanka,GPE
sri lanka,GPE
23,CARDINAL
3,CARDINAL
2,CARDINAL
15,CARDINAL
2006,DATE
1,CARDINAL
twelve months,DATE
4,CARDINAL
sri lanka,GPE
5,CARDINAL
6,CARDINAL
24,CARDINAL
twelve months,DATE
8),CARDINAL
5,DATE
33,CARDINAL
1995,DATE
20,CARDINAL
1,CARDINAL
each year,DATE
less than five,CARDINAL
the said reserve fund,ORG
fifty,CARDINAL
less than two,CARDINAL
the said reserve fund,ORG
less than twenty-five,CARDINAL
2,CARDINAL
21,CARDINAL
1,CARDINAL
2005,DATE
daily,DATE
each months,DATE
treasury,ORG
sri lanka,GPE
25,CARDINAL
less than twenty,CARDINAL
more than forty,CARDINAL
2,CARDINAL
1,CARDINAL
3,CARDINAL
1,CARDINAL
4,CARDINAL
3,CARDINAL
22,CARDINAL
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
23,CARDINAL
12,CARDINAL
2,CARDINAL
section 5,LAW
24,CARDINAL
1,CARDINAL
2,CARDINAL
33 of 1995,DATE
2,CARDINAL
26,CARDINAL
