entity,label
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
3,CARDINAL
2,CARDINAL
4,CARDINAL
11,CARDINAL
1,CARDINAL
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
2,CARDINAL
6,CARDINAL
2,CARDINAL
sri lanka,GPE
8),CARDINAL
section 9,LAW
6,CARDINAL
2,CARDINAL
3,CARDINAL
sri lanka,GPE
8),CARDINAL
section 9,LAW
2,CARDINAL
section 3,LAW
sri lanka,GPE
4,CARDINAL
section 9,LAW
1,CARDINAL
section 9,LAW
14,CARDINAL
section 9,LAW
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
less than three,CARDINAL
15,CARDINAL
section 9,LAW
5,CARDINAL
4,CARDINAL
4,CARDINAL
section 30,LAW
11a,DATE
9,CARDINAL
10 and 11,CARDINAL
section 30,LAW
8,CARDINAL
33 of 1995,DATE
12,CARDINAL
1,CARDINAL
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
1a,CARDINAL
1,CARDINAL
1,CARDINAL
16,CARDINAL
