entity,label
sri lanka,GPE
11,CARDINAL
4,CARDINAL
1,CARDINAL
sri lanka,GPE
section 3,LAW
sri lanka,GPE
sri lanka,GPE
united lanka,GPE
§ 5,DATE
33,CARDINAL
of1995,PRODUCT
2,CARDINAL
a period of,DATE
six months,DATE
10,CARDINAL
3,CARDINAL
sri lanka,GPE
5,CARDINAL
1,CARDINAL
sri lanka,GPE
2,CARDINAL
1,CARDINAL
3,CARDINAL
1,CARDINAL
sri lanka,GPE
6,CARDINAL
section 17,LAW
7,CARDINAL
the bank of &c.,ORG
chapter 397,LAW
29,CARDINAL
1961,DATE
1985,DATE
8,CARDINAL
1,CARDINAL
annual,DATE
2,CARDINAL
3,CARDINAL
11,CARDINAL
