entity,label
9,CARDINAL
1,CARDINAL
nine months,DATE
5,CARDINAL
2,CARDINAL
section 5,LAW
2,CARDINAL
1,CARDINAL
fourteen days,DATE
section 5,LAW
3,CARDINAL
thirty days,DATE
the last date,DATE
2,CARDINAL
1,CARDINAL
4,CARDINAL
3,CARDINAL
1,CARDINAL
fourteen days,DATE
5,CARDINAL
article 136 of the constitution of the democratic socialist republic of sri lanka,LAW
12,CARDINAL
6,CARDINAL
4,CARDINAL
1,CARDINAL
sri lanka,GPE
8),CARDINAL
3,CARDINAL
4,CARDINAL
the supreme court,ORG
9,CARDINAL
8),CARDINAL
english,NORP
english,NORP
daily,DATE
sri lanka,GPE
10,CARDINAL
1,CARDINAL
1,CARDINAL
section 9,LAW
2,CARDINAL
1,CARDINAL
13,CARDINAL
