entity,label
45,DATE
1,CARDINAL
18,CARDINAL
2,CARDINAL
2,CARDINAL
18,CARDINAL
2,CARDINAL
2,CARDINAL
1,CARDINAL
3,CARDINAL
40,CARDINAL
18,CARDINAL
2,CARDINAL
3,CARDINAL
1,CARDINAL
thirty days,DATE
thirty days,DATE
4,CARDINAL
18,CARDINAL
2,CARDINAL
3,CARDINAL
1,CARDINAL
one million,CARDINAL
one hundred thousand,CARDINAL
each day,DATE
3,CARDINAL
46,DATE
1,CARDINAL
25,CARDINAL
33 of 1995,DATE
19,CARDINAL
2,CARDINAL
41,CARDINAL
sri lanka,GPE
42,CARDINAL
less than twenty,CARDINAL
more than fifty,CARDINAL
2,CARDINAL
1,CARDINAL
25,CARDINAL
33 of 1995,DATE
twelve months,DATE
3,CARDINAL
1,CARDINAL
46a,DATE
26,CARDINAL
33,CARDINAL
1995,DATE
20,CARDINAL
2,CARDINAL
47,CARDINAL
1,CARDINAL
2,CARDINAL
one,CARDINAL
ten,CARDINAL
ten,CARDINAL
43,CARDINAL
3,CARDINAL
20,CARDINAL
2,CARDINAL
less than two-thirds,CARDINAL
20,CARDINAL
2,CARDINAL
4,CARDINAL
5,CARDINAL
2,CARDINAL
less than two thirds,CARDINAL
6,CARDINAL
27,CARDINAL
33 of 1995,DATE
one year,DATE
6,CARDINAL
a period of,DATE
six months,DATE
5,CARDINAL
one year,DATE
5,CARDINAL
44,CARDINAL
the period of,DATE
three years,DATE
the expiry of,DATE
six months,DATE
6,CARDINAL
8),CARDINAL
6,CARDINAL
9,CARDINAL
10,CARDINAL
11,CARDINAL
2,CARDINAL
3,CARDINAL
5,CARDINAL
11a,DATE
27,CARDINAL
33 of 1995,DATE
20,CARDINAL
2,CARDINAL
2,CARDINAL
4,CARDINAL
any financial year,DATE
that financial year,DATE
12,CARDINAL
9,CARDINAL
10,CARDINAL
13,CARDINAL
sri lanka,GPE
45,CARDINAL
sri lanka,GPE
48,CARDINAL
1,CARDINAL
chapter 397,LAW
29,CARDINAL
1961,DATE
2,CARDINAL
the expiry of one year,DATE
48a,DATE
28,CARDINAL
33 of 1995,DATE
49,DATE
2,CARDINAL
49a,DATE
29,CARDINAL
33 of 1995,DATE
49b,CARDINAL
1,CARDINAL
sri lanka,GPE
30,CARDINAL
33,CARDINAL
of1995,PRODUCT
46,CARDINAL
2,CARDINAL
1,CARDINAL
the day,DATE
the day,DATE
the day,DATE
sri lanka,GPE
49,CARDINAL
30,CARDINAL
33,CARDINAL
47,CARDINAL
30,CARDINAL
33 of 1995,DATE
transferee,CARDINAL
section 49c,LAW
49e,CARDINAL
33 of 1995,DATE
49f,DATE
1,CARDINAL
the day,DATE
30,CARDINAL
33 of 1995,DATE
2,CARDINAL
1,CARDINAL
three months,DATE
48,CARDINAL
3,CARDINAL
1,CARDINAL
4,CARDINAL
5,CARDINAL
4,CARDINAL
1,CARDINAL
49,CARDINAL
33 of 1995,DATE
the day,DATE
the day,DATE
49,DATE
the day,DATE
49h,DATE
30,CARDINAL
33 of 1995,DATE
49j,DATE
33 of 1995,DATE
49k,CARDINAL
1,CARDINAL
section 12,LAW
33 of 1995,DATE
49l,DATE
33 of 1995,DATE
section 49b,LAW
sri lanka,GPE
sri lanka,GPE
50,CARDINAL
51,CARDINAL
sri lanka,GPE
50,CARDINAL
