entity,label
6,CARDINAL
4,CARDINAL
1,CARDINAL
sri lanka,GPE
8),CARDINAL
3,CARDINAL
4,CARDINAL
the supreme court,ORG
9,CARDINAL
8),CARDINAL
english,NORP
english,NORP
daily,DATE
sri lanka,GPE
10,CARDINAL
1,CARDINAL
1,CARDINAL
section 9,LAW
2,CARDINAL
1,CARDINAL
13,CARDINAL
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
3,CARDINAL
2,CARDINAL
4,CARDINAL
11,CARDINAL
1,CARDINAL
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
2,CARDINAL
6,CARDINAL
2,CARDINAL
sri lanka,GPE
8),CARDINAL
section 9,LAW
6,CARDINAL
2,CARDINAL
3,CARDINAL
sri lanka,GPE
8),CARDINAL
section 9,LAW
2,CARDINAL
section 3,LAW
sri lanka,GPE
4,CARDINAL
section 9,LAW
1,CARDINAL
section 9,LAW
14,CARDINAL
