entity,label
42,DATE
1,CARDINAL
1995,DATE
2005,DATE
2,CARDINAL
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
35,CARDINAL
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
3,CARDINAL
first,ORDINAL
one-third,CARDINAL
one,CARDINAL
section 44a,LAW
more than one half,CARDINAL
16,CARDINAL
2,CARDINAL
4,CARDINAL
36,CARDINAL
fifteen days,DATE
fifteen days,DATE
5,CARDINAL
16,CARDINAL
2,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
4,CARDINAL
thirty days,DATE
6,CARDINAL
16,CARDINAL
2,CARDINAL
5,CARDINAL
fourteen days,DATE
5,CARDINAL
5,CARDINAL
6,CARDINAL
5,CARDINAL
6,CARDINAL
8),CARDINAL
16,CARDINAL
2,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
37,CARDINAL
3,CARDINAL
3,CARDINAL
9,CARDINAL
2,CARDINAL
8),CARDINAL
8),CARDINAL
five hundred thousand,CARDINAL
one hundred thousand,CARDINAL
each day,DATE
one hundred thousand,CARDINAL
each day,DATE
16,CARDINAL
2,CARDINAL
10,CARDINAL
8),CARDINAL
38,CARDINAL
11,CARDINAL
2,CARDINAL
16,CARDINAL
2,CARDINAL
12,CARDINAL
43,CARDINAL
section 176,LAW
24,CARDINAL
33 of 1995,DATE
44,DATE
1,CARDINAL
sri lanka,GPE
sri lanka,GPE
2,CARDINAL
3,CARDINAL
44a,DATE
1,CARDINAL
2,CARDINAL
17,CARDINAL
2,CARDINAL
section 42,LAW
2,CARDINAL
5,CARDINAL
6,CARDINAL
8),CARDINAL
9,CARDINAL
10,CARDINAL
section 42,LAW
1,CARDINAL
39,CARDINAL
45,DATE
1,CARDINAL
18,CARDINAL
2,CARDINAL
2,CARDINAL
18,CARDINAL
2,CARDINAL
2,CARDINAL
1,CARDINAL
3,CARDINAL
40,CARDINAL
