entity,label
3a,CARDINAL
3,CARDINAL
4,CARDINAL
2,CARDINAL
5,CARDINAL
sri lanka,GPE
2,CARDINAL
76n,DATE
1,CARDINAL
1,CARDINAL
§ 31,DATE
33,CARDINAL
of1995,PRODUCT
33,CARDINAL
2,CARDINAL
2,CARDINAL
1,CARDINAL
71,CARDINAL
77,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
3,CARDINAL
1,CARDINAL
2,CARDINAL
78,DATE
the monetary board monetary board,ORG
33,CARDINAL
33,CARDINAL
of1995,PRODUCT
2,CARDINAL
79,CARDINAL
1,CARDINAL
5,CARDINAL
36,DATE
2,CARDINAL
2,CARDINAL
11,CARDINAL
section 3,LAW
3,CARDINAL
section 14,LAW
3,CARDINAL
section 33,LAW
3,CARDINAL
section 41,LAW
12,CARDINAL
section 47,LAW
one million,CARDINAL
three years,DATE
2,CARDINAL
1,CARDINAL
2,CARDINAL
section 16,LAW
1,CARDINAL
section 17,LAW
section 77,LAW
one million,CARDINAL
72,CARDINAL
three years,DATE
3,CARDINAL
1,CARDINAL
2,CARDINAL
five hundred thousand,QUANTITY
eighteen months,DATE
4,CARDINAL
2,CARDINAL
five hundred thousand,QUANTITY
eighteen months,DATE
5,CARDINAL
2,CARDINAL
section 77,LAW
6,CARDINAL
79a,CARDINAL
2,CARDINAL
one million,CARDINAL
2,CARDINAL
80,DATE
1,CARDINAL
35,DATE
33 of 1995,DATE
73,CARDINAL
eighteen months,DATE
one thousand,CARDINAL
2,CARDINAL
1,CARDINAL
81,DATE
33 of 1995,DATE
82,CARDINAL
1,CARDINAL
2,CARDINAL
74,DATE
3,CARDINAL
4,CARDINAL
82a,DATE
33 of 1995,DATE
83,CARDINAL
chapter 85,LAW
chapter 89,LAW
83a,DATE
chapter 99,LAW
1995,DATE
sri lanka,GPE
section 5,LAW
1995,DATE
1974,DATE
17 1982,DATE
83c,CARDINAL
1,CARDINAL
§,NORP
2005,DATE
sri lanka,GPE
75,CARDINAL
2,CARDINAL
1,CARDINAL
three years,DATE
one million,CARDINAL
less than three years,DATE
more than five years,DATE
two million,CARDINAL
sri lanka,GPE
3,CARDINAL
1,CARDINAL
1,CARDINAL
1,CARDINAL
4,CARDINAL
5,CARDINAL
6,CARDINAL
76,DATE
7,CARDINAL
3,CARDINAL
1,CARDINAL
8),CARDINAL
1,CARDINAL
1,CARDINAL
9,CARDINAL
8),CARDINAL
8),CARDINAL
8),CARDINAL
84,CARDINAL
chapter 422,LAW
"116a, 121a and 121b",DATE
85,CARDINAL
17,CARDINAL
1982,DATE
part xiii,ORG
86,CARDINAL
39,CARDINAL
33 of 1995,DATE
77,CARDINAL
