entity,label
three years,DATE
73,CARDINAL
1,CARDINAL
section 72,LAW
2,CARDINAL
3,CARDINAL
2,CARDINAL
74,CARDINAL
thirty days,DATE
1,CARDINAL
section 73,LAW
english,NORP
daily,DATE
75,CARDINAL
1,CARDINAL
section 73,LAW
76,DATE
section 74,LAW
58,CARDINAL
76a,DATE
1,CARDINAL
31,CARDINAL
33,CARDINAL
of1995,PRODUCT
less than fifty million,CARDINAL
1988,DATE
5,CARDINAL
1972,DATE
chapter 401,LAW
2,CARDINAL
sri lanka,GPE
17,CARDINAL
3,CARDINAL
1,CARDINAL
2,CARDINAL
section 76b,LAW
1,CARDINAL
4,CARDINAL
1,CARDINAL
24,CARDINAL
2,CARDINAL
5,CARDINAL
449,CARDINAL
17,CARDINAL
1982,DATE
sri lanka,GPE
sri lanka,GPE
2,CARDINAL
section 19,LAW
76b,DATE
section 3,LAW
2,CARDINAL
section 5,LAW
section 76c,LAW
59,CARDINAL
76c,DATE
section 5,LAW
26,CARDINAL
2,CARDINAL
76d,DATE
1,CARDINAL
annual,DATE
2,CARDINAL
27,CARDINAL
2,CARDINAL
3,CARDINAL
section 82,LAW
4,CARDINAL
5,CARDINAL
section 2,LAW
6,CARDINAL
annual,DATE
76e,CARDINAL
33,CARDINAL
1995,DATE
76f,DATE
1,CARDINAL
section 9,LAW
section 5,LAW
2,CARDINAL
1,CARDINAL
section 76,LAW
60,CARDINAL
76g.,QUANTITY
1,CARDINAL
3,CARDINAL
fifty million,CARDINAL
4,MONEY
15,CARDINAL
2006,DATE
2,CARDINAL
2,CARDINAL
section 19,LAW
3,CARDINAL
1,CARDINAL
twelve months,DATE
5,CARDINAL
6,CARDINAL
5,CARDINAL
6,CARDINAL
61,CARDINAL
twelve months,DATE
8),CARDINAL
76h,DATE
29,CARDINAL
2,CARDINAL
76j,CARDINAL
1,CARDINAL
31,DATE
33,CARDINAL
1995,DATE
one,CARDINAL
one,CARDINAL
62,CARDINAL
63,DATE
6,CARDINAL
15,CARDINAL
1,CARDINAL
76k,DATE
1,CARDINAL
section 76n,LAW
64,DATE
30 2 of 2005,DATE
sri lanka,GPE
2,CARDINAL
1,CARDINAL
3,CARDINAL
1,CARDINAL
4,CARDINAL
1,CARDINAL
5,CARDINAL
76k,DATE
section 45,LAW
2,CARDINAL
65,CARDINAL
76l,CARDINAL
1,CARDINAL
33 of 1995,DATE
2,CARDINAL
3,CARDINAL
4,CARDINAL
3,CARDINAL
5,CARDINAL
66,CARDINAL
3,CARDINAL
6,CARDINAL
5,CARDINAL
twenty,CARDINAL
less than fifty,CARDINAL
5,CARDINAL
6,CARDINAL
76m.,CARDINAL
1,CARDINAL
§ 31,DATE
33 of 1995,DATE
2,CARDINAL
67,CARDINAL
1,CARDINAL
3,CARDINAL
1,CARDINAL
32 2 of 2005,DATE
six months,DATE
32 2 of 2005,DATE
sri lanka,GPE
six months,DATE
68,CARDINAL
sri lanka,GPE
section 76a,LAW
2(2,CARDINAL
46,CARDINAL
3a,CARDINAL
3,CARDINAL
2006,DATE
the day,DATE
the day,DATE
the day,DATE
sri lanka,GPE
3b,CARDINAL
3,CARDINAL
section 76,LAW
the day,DATE
the day,DATE
69,CARDINAL
3c,CARDINAL
daily,DATE
english,NORP
daily,DATE
english,NORP
3d,CARDINAL
3c,CARDINAL
3e,CARDINAL
3,CARDINAL
3f,CARDINAL
70,CARDINAL
3a,CARDINAL
3,CARDINAL
4,CARDINAL
2,CARDINAL
5,CARDINAL
sri lanka,GPE
2,CARDINAL
76n,DATE
1,CARDINAL
1,CARDINAL
§ 31,DATE
33,CARDINAL
of1995,PRODUCT
33,CARDINAL
2,CARDINAL
2,CARDINAL
1,CARDINAL
71,CARDINAL
