entity,label
2,CARDINAL
33 of 1995,DATE
1988,DATE
39,CARDINAL
1990,DATE
the 33 of 1995,DATE
2,CARDINAL
2005,DATE
15,CARDINAL
2006,DATE
25th,ORDINAL
"august, 1988",DATE
1990,DATE
"12th november, 1990",DATE
"19th december, 1995",DATE
10th,ORDINAL
2005,DATE
2006,DATE
no 46 of 2006- 30th,DATE
2006,DATE
democratic,NORP
sri lanka,GPE
1,CARDINAL
1,CARDINAL
16th,ORDINAL
2,CARDINAL
20th,ORDINAL
september 1988,DATE
3,CARDINAL
2.,CARDINAL
1,CARDINAL
2,CARDINAL
sri lanka,GPE
3,CARDINAL
4,CARDINAL
1,CARDINAL
2,CARDINAL
section 3,LAW
6,CARDINAL
5,CARDINAL
1,CARDINAL
3,CARDINAL
33 of 1995,DATE
6,CARDINAL
1982,DATE
sri lanka,GPE
sri lanka,GPE
3,CARDINAL
1,CARDINAL
3,CARDINAL
2,CARDINAL
2,CARDINAL
the preceding three years,DATE
sri lanka,GPE
7,CARDINAL
