entity,label
the day,DATE
49h,DATE
30,CARDINAL
33 of 1995,DATE
49j,DATE
33 of 1995,DATE
49k,CARDINAL
1,CARDINAL
section 12,LAW
33 of 1995,DATE
49l,DATE
33 of 1995,DATE
section 49b,LAW
sri lanka,GPE
sri lanka,GPE
50,CARDINAL
51,CARDINAL
sri lanka,GPE
50,CARDINAL
at least three-fourths,CARDINAL
1,CARDINAL
section 12,LAW
52,CARDINAL
53,CARDINAL
thirty days,DATE
section 51,LAW
bailee,PERSON
54,DATE
55,CARDINAL
section 54,LAW
51,CARDINAL
section 72,LAW
56,CARDINAL
57,DATE
sri lanka,GPE
3,CARDINAL
section 9,LAW
sri lanka,GPE
58,DATE
1,CARDINAL
22,CARDINAL
2,CARDINAL
52,CARDINAL
2,CARDINAL
22,CARDINAL
2,CARDINAL
claims &c.,ORG
59,CARDINAL
six months,DATE
lien,PERSON
six months,DATE
lien,PERSON
60,MONEY
1,CARDINAL
a period of,DATE
six months,DATE
2,CARDINAL
ninety days,DATE
61.,CARDINAL
62,CARDINAL
53,CARDINAL
later than sixty days,DATE
the sixty day period,DATE
63,DATE
1,CARDINAL
bailee,PERSON
2,CARDINAL
ten years,DATE
section 72,LAW
64,DATE
three months,DATE
three consecutive weeks,DATE
three,CARDINAL
english,NORP
thirty days,DATE
the date of the,DATE
third,ORDINAL
54,CARDINAL
65,CARDINAL
twenty one days,DATE
section 64,LAW
66,CARDINAL
1,CARDINAL
23,CARDINAL
2,CARDINAL
the three month,DATE
twenty thousand,CARDINAL
2,CARDINAL
3,CARDINAL
67,CARDINAL
68,CARDINAL
section 61,LAW
55,CARDINAL
the ten years,DATE
section 61,LAW
section 72,LAW
69,CARDINAL
17,CARDINAL
1982,DATE
70,DATE
1,CARDINAL
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
4,CARDINAL
2,CARDINAL
sri lanka,GPE
3,CARDINAL
section 9,LAW
sri lanka,GPE
4,CARDINAL
3,CARDINAL
sri lanka,GPE
sri lanka,GPE
4,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
sri lanka,GPE
1,CARDINAL
2,CARDINAL
3,CARDINAL
1,CARDINAL
3,CARDINAL
section 11,LAW
sri lanka,GPE
2,CARDINAL
section 3,LAW
section 63,LAW
68,CARDINAL
56,CARDINAL
5,CARDINAL
71,CARDINAL
chapter 422,LAW
17,CARDINAL
72,DATE
1,CARDINAL
63,CARDINAL
68,CARDINAL
2,CARDINAL
ten years,DATE
2,CARDINAL
2,CARDINAL
1,CARDINAL
sri lanka,GPE
thereon,PERSON
sri lanka,GPE
57,CARDINAL
three years,DATE
73,CARDINAL
1,CARDINAL
section 72,LAW
2,CARDINAL
3,CARDINAL
2,CARDINAL
74,CARDINAL
thirty days,DATE
1,CARDINAL
section 73,LAW
english,NORP
daily,DATE
75,CARDINAL
1,CARDINAL
section 73,LAW
76,DATE
section 74,LAW
58,CARDINAL
