entity,label
less than twenty,CARDINAL
more than forty,CARDINAL
2,CARDINAL
1,CARDINAL
3,CARDINAL
1,CARDINAL
4,CARDINAL
3,CARDINAL
22,CARDINAL
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
23,CARDINAL
12,CARDINAL
2,CARDINAL
section 5,LAW
24,CARDINAL
1,CARDINAL
2,CARDINAL
33 of 1995,DATE
2,CARDINAL
26,CARDINAL
25,CARDINAL
13,CARDINAL
2,CARDINAL
26,CARDINAL
the monetary board,ORG
section 25,LAW
16,CARDINAL
33,CARDINAL
of1995,PRODUCT
27,CARDINAL
the last working day,DATE
each financial year,DATE
such year,DATE
monetary board,ORG
28,CARDINAL
section 27,LAW
part iii,PERSON
29,CARDINAL
1,CARDINAL
2,CARDINAL
chapter v,LAW
27,CARDINAL
2,CARDINAL
chapter v,LAW
chapter 422,LAW
30,CARDINAL
1,CARDINAL
annually,DATE
2,CARDINAL
31,CARDINAL
32,CARDINAL
records& c.,ORG
33,CARDINAL
1,CARDINAL
the department of bank supervision,ORG
31,CARDINAL
28,CARDINAL
2,CARDINAL
section 31,LAW
1,CARDINAL
3,CARDINAL
2,CARDINAL
34,CARDINAL
1,CARDINAL
"2,39",CARDINAL
1990 19,DATE
33 of 1995,DATE
2,CARDINAL
1,CARDINAL
sri lanka,GPE
the supreme court,ORG
1979,DATE
29,CARDINAL
3,CARDINAL
section 34a,LAW
4,CARDINAL
a period of,DATE
two years,DATE
35,CARDINAL
financial year,DATE
the last working day,DATE
such year,DATE
36,DATE
1,CARDINAL
the financial year,DATE
2,CARDINAL
the financial year,DATE
30,CARDINAL
