entity,label
3,CARDINAL
sri lanka,GPE
5,CARDINAL
1,CARDINAL
sri lanka,GPE
2,CARDINAL
1,CARDINAL
3,CARDINAL
1,CARDINAL
sri lanka,GPE
6,CARDINAL
section 17,LAW
7,CARDINAL
the bank of &c.,ORG
chapter 397,LAW
29,CARDINAL
1961,DATE
1985,DATE
8,CARDINAL
1,CARDINAL
annual,DATE
2,CARDINAL
3,CARDINAL
11,CARDINAL
9,CARDINAL
1,CARDINAL
nine months,DATE
5,CARDINAL
2,CARDINAL
section 5,LAW
2,CARDINAL
1,CARDINAL
fourteen days,DATE
section 5,LAW
3,CARDINAL
thirty days,DATE
the last date,DATE
2,CARDINAL
1,CARDINAL
4,CARDINAL
3,CARDINAL
1,CARDINAL
fourteen days,DATE
5,CARDINAL
article 136 of the constitution of the democratic socialist republic of sri lanka,LAW
12,CARDINAL
