entity,label
7,CARDINAL
3,CARDINAL
1,CARDINAL
8),CARDINAL
1,CARDINAL
1,CARDINAL
9,CARDINAL
8),CARDINAL
8),CARDINAL
8),CARDINAL
84,CARDINAL
chapter 422,LAW
"116a, 121a and 121b",DATE
85,CARDINAL
17,CARDINAL
1982,DATE
part xiii,ORG
86,CARDINAL
39,CARDINAL
33 of 1995,DATE
section 20,LAW
2,CARDINAL
1,CARDINAL
section 76j,LAW
sri lanka,GPE
chapter 422,LAW
17,CARDINAL
1982,DATE
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
the department of bank supervision,ORG
chapter 422,LAW
78,CARDINAL
third,ORDINAL
1988,DATE
1988,DATE
sri lanka,GPE
treasury,ORG
sri lanka,GPE
one year,DATE
sri lanka,GPE
chapter 422,LAW
sri lanka,GPE
1982,DATE
79,CARDINAL
the institute of chartered accountants,ORG
sri lanka,GPE
the council of such institute,ORG
the institute of chartered accountants,ORG
sri lanka,GPE
the council of such institute,ORG
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
at least six months,DATE
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
d.,NORP
sri lanka,GPE
ten,CARDINAL
less than,CARDINAL
more than ten,CARDINAL
less than ten,CARDINAL
80,CARDINAL
1,CARDINAL
algemene bank nederland n.v,ORG
2,CARDINAL
american express bank ltd 3,ORG
amsterdam-rotterdam bank n.v,ORG
4,CARDINAL
5,CARDINAL
bank of credit & commerce international (overseas) ltd,ORG
6,CARDINAL
bank of oman ltd,ORG
7,CARDINAL
banque,PERSON
8,CARDINAL
citibank n.a,ORG
9,CARDINAL
bank of ceylon ltd,ORG
10,CARDINAL
deutsche bank a.g. 11,ORG
bank plc,ORG
12,CARDINAL
habib bank a.g,ORG
13,CARDINAL
habib bank ltd,ORG
14,CARDINAL
hatton national bank ltd,ORG
15,CARDINAL
hong kong,GPE
shanghai,GPE
16,CARDINAL
indian,NORP
17,CARDINAL
indian,NORP
18,CARDINAL
middle east bank ltd,LOC
19,CARDINAL
people’s bank,ORG
20,CARDINAL
standard chartered bank,ORG
21,CARDINAL
state bank of india 22,ORG
union bank of the middle east ltd,ORG
23,CARDINAL
sampath bank ltd,ORG
24,CARDINAL
seylan trust bank ltd,ORG
25,CARDINAL
1985,DATE
81,CARDINAL
