entity,label
1,CARDINAL
algemene bank nederland n.v,ORG
2,CARDINAL
american express bank ltd 3,ORG
amsterdam-rotterdam bank n.v,ORG
4,CARDINAL
5,CARDINAL
bank of credit & commerce international (overseas) ltd,ORG
6,CARDINAL
bank of oman ltd,ORG
7,CARDINAL
banque,PERSON
8,CARDINAL
citibank n.a,ORG
9,CARDINAL
bank of ceylon ltd,ORG
10,CARDINAL
deutsche bank a.g. 11,ORG
bank plc,ORG
12,CARDINAL
habib bank a.g,ORG
13,CARDINAL
habib bank ltd,ORG
14,CARDINAL
hatton national bank ltd,ORG
15,CARDINAL
hong kong,GPE
shanghai,GPE
16,CARDINAL
indian,NORP
17,CARDINAL
indian,NORP
18,CARDINAL
middle east bank ltd,LOC
19,CARDINAL
people’s bank,ORG
20,CARDINAL
standard chartered bank,ORG
21,CARDINAL
state bank of india 22,ORG
union bank of the middle east ltd,ORG
23,CARDINAL
sampath bank ltd,ORG
24,CARDINAL
seylan trust bank ltd,ORG
25,CARDINAL
1985,DATE
81,CARDINAL
billion,CARDINAL
1995,DATE
82,CARDINAL
