entity,label
schedule iii,PERSON
3,CARDINAL
1995,DATE
1,CARDINAL
national development bank of sri lanka,ORG
the national development bank of sri lanka,ORG
2,CARDINAL
1979,DATE
2,CARDINAL
3,CARDINAL
1975,DATE
4,CARDINAL
national savings bank,ORG
the national savings bank,ORG
1971,DATE
5,CARDINAL
housing development finance corporation (bank,ORG
sri lanka,GPE
the housing development finance corporation,ORG
sri lanka,GPE
1997,DATE
section 76c,LAW
4,CARDINAL
41,CARDINAL
33,CARDINAL
1995,DATE
85,CARDINAL
86,CARDINAL
87,CARDINAL
mm,PERSON
1995,DATE
88,CARDINAL
89,CARDINAL
