entity,label
20,CARDINAL
24,CARDINAL
2024,DATE
4,CARDINAL
3a,CARDINAL
5,CARDINAL
3a,CARDINAL
3b,CARDINAL
one,CARDINAL
3c,CARDINAL
38a,DATE
39,CARDINAL
6,CARDINAL
7a,CARDINAL
the institute of chartered accountants,ORG
sri lanka,GPE
24,CARDINAL
sri lanka,GPE
7b,CARDINAL
every six years,DATE
every three years,DATE
7c,CARDINAL
a period of,DATE
two years,DATE
8),CARDINAL
23,CARDINAL
section 41,LAW
1,CARDINAL
section 41,LAW
24,CARDINAL
section 42,LAW
section 42,LAW
1,CARDINAL
2,CARDINAL
22,CARDINAL
24,CARDINAL
2024,DATE
sri lanka,GPE
sri lanka,GPE
2,CARDINAL
4,CARDINAL
4,CARDINAL
fifteen days,DATE
3,CARDINAL
4,CARDINAL
24,CARDINAL
4a,CARDINAL
4,CARDINAL
1,CARDINAL
2,CARDINAL
4,CARDINAL
7,CARDINAL
5,CARDINAL
6,CARDINAL
5,CARDINAL
12,CARDINAL
12,CARDINAL
6,CARDINAL
12,CARDINAL
