entity,label
24,CARDINAL
"10th of april, 2024",DATE
42/2023,CARDINAL
30,CARDINAL
democratic,NORP
sri lanka,GPE
1,CARDINAL
1,CARDINAL
24,CARDINAL
2024,DATE
2,CARDINAL
2,CARDINAL
section 2,LAW
section 2,LAW
6,CARDINAL
1988,DATE
3.,CARDINAL
section 2,LAW
as section 2a,QUANTITY
2a,CARDINAL
sri lanka,GPE
2,CARDINAL
24,CARDINAL
1b,CARDINAL
section 12,LAW
2,CARDINAL
section 42,LAW
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
4,CARDINAL
section 3,LAW
section 3,LAW
1,CARDINAL
1,CARDINAL
2,CARDINAL
2,CARDINAL
24,CARDINAL
the preceding three years,DATE
5,CARDINAL
section 4,LAW
section 4,LAW
1,CARDINAL
1,CARDINAL
1,CARDINAL
sri lanka,GPE
section 3,LAW
sri lanka,GPE
sri lanka,GPE
2,CARDINAL
3,CARDINAL
4,CARDINAL
1,CARDINAL
1,CARDINAL
sri lanka,GPE
sri lanka,GPE
