entity,label
24,CARDINAL
2024,DATE
33 41,DATE
section 76,LAW
section 76,LAW
1,CARDINAL
3,CARDINAL
5,CARDINAL
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
section 76a,LAW
sri lanka,GPE
2,CARDINAL
3a,CARDINAL
3b,CARDINAL
3c,CARDINAL
3d,CARDINAL
3e,CARDINAL
3f,CARDINAL
3,CARDINAL
34,CARDINAL
24,CARDINAL
2024,DATE
42,CARDINAL
section 79,LAW
section 79,LAW
1,CARDINAL
3,CARDINAL
section 33,LAW
3,CARDINAL
section 41,LAW
3,CARDINAL
section 41,LAW
43,CARDINAL
as section 79b,DATE
1,CARDINAL
1c,CARDINAL
3,CARDINAL
4,CARDINAL
section 12,LAW
section 19,LAW
section 21,LAW
1,CARDINAL
section 38,LAW
1,CARDINAL
section 46,LAW
2,CARDINAL
24,CARDINAL
3,CARDINAL
1,CARDINAL
44,CARDINAL
section 83a,LAW
45,DATE
83d,CARDINAL
83e,DATE
83d,CARDINAL
83e,DATE
83d,CARDINAL
bank of bank supervision,ORG
36,CARDINAL
24,CARDINAL
2024 central 83e,DATE
1,CARDINAL
2,CARDINAL
1,CARDINAL
46,CARDINAL
section 86,LAW
section 86,LAW
1,CARDINAL
2,CARDINAL
ten,CARDINAL
24,CARDINAL
2024 37,DATE
sri lanka,GPE
3,CARDINAL
one,CARDINAL
4,CARDINAL
sri lanka,GPE
38,CARDINAL
24,CARDINAL
2024,DATE
5,CARDINAL
one,CARDINAL
first,ORDINAL
6,CARDINAL
