entity,label
4,CARDINAL
24,CARDINAL
2024,DATE
5,CARDINAL
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
6,CARDINAL
section 5,LAW
section 5,LAW
2,CARDINAL
7,CARDINAL
section 8,LAW
section 8,LAW
2,CARDINAL
2,CARDINAL
2,CARDINAL
8,CARDINAL
section 9,LAW
section 9,LAW
1,CARDINAL
sri lanka,GPE
24,CARDINAL
section 11,LAW
1,CARDINAL
2,CARDINAL
sri lanka,GPE
2,CARDINAL
3,CARDINAL
sri lanka,GPE
sri lanka,GPE
3,CARDINAL
4,CARDINAL
6,CARDINAL
24,CARDINAL
2024,DATE
10,CARDINAL
section 12,LAW
section 12,LAW
1,CARDINAL
sri lanka,GPE
sri lanka,GPE
24,CARDINAL
2,CARDINAL
1b,CARDINAL
1b,CARDINAL
1,CARDINAL
1c,CARDINAL
1c,CARDINAL
2,CARDINAL
section 42,LAW
8,CARDINAL
24,CARDINAL
the preceding three years,DATE
3,CARDINAL
1c,CARDINAL
1c,CARDINAL
sri lanka,GPE
2,CARDINAL
3,CARDINAL
24,CARDINAL
9,CARDINAL
3,CARDINAL
1c,CARDINAL
1c,CARDINAL
10,CARDINAL
24,CARDINAL
2024,DATE
ten,CARDINAL
4,CARDINAL
2,CARDINAL
5,CARDINAL
2,CARDINAL
3,CARDINAL
24,CARDINAL
1c,CARDINAL
1c,CARDINAL
4,CARDINAL
3,CARDINAL
one,CARDINAL
1c,CARDINAL
12,CARDINAL
24,CARDINAL
2024,DATE
1c,CARDINAL
1c,CARDINAL
11,CARDINAL
section 13,LAW
section 13,LAW
1,CARDINAL
1,CARDINAL
1,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
2,CARDINAL
2,CARDINAL
12,CARDINAL
section 17,LAW
section 17,LAW
4,CARDINAL
4a,CARDINAL
24,CARDINAL
2024 13,DATE
five years,DATE
13,CARDINAL
section 19,LAW
section 19,LAW
1,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
twelve months,DATE
3,CARDINAL
twelve months,DATE
