entity,label
58,CARDINAL
17,CARDINAL
2,CARDINAL
3,CARDINAL
transferee,CARDINAL
59 act,MONEY
17,CARDINAL
2023,DATE
section 44,LAW
4,CARDINAL
3,CARDINAL
pari,PERSON
under section 45,DATE
52,DATE
treasury,ORG
the ministry of finance,ORG
60,CARDINAL
17,CARDINAL
2023,DATE
54,DATE
1,CARDINAL
2,CARDINAL
three months,DATE
3,CARDINAL
four months,DATE
the financial year,DATE
three,CARDINAL
english,NORP
sri lanka,GPE
55,DATE
1,CARDINAL
2,CARDINAL
1,CARDINAL
3,CARDINAL
17,CARDINAL
2023,DATE
4,CARDINAL
3,CARDINAL
5,CARDINAL
6,CARDINAL
5,CARDINAL
ten million,CARDINAL
three years,DATE
fifty thousand,CARDINAL
each day,DATE
56,DATE
section 4,LAW
62,CARDINAL
17,CARDINAL
2023,DATE
57,CARDINAL
1,CARDINAL
the central bank,ORG
2,CARDINAL
58,DATE
1,CARDINAL
2,CARDINAL
63,CARDINAL
17,CARDINAL
2023,DATE
treasury,ORG
59,CARDINAL
1,CARDINAL
section 60,LAW
64,CARDINAL
17,CARDINAL
2,CARDINAL
3,CARDINAL
60,CARDINAL
1,CARDINAL
the committee on technical committee,ORG
2,CARDINAL
the ministry of the minister,ORG
3,CARDINAL
section 59,LAW
61,CARDINAL
