entity,label
17,CARDINAL
2023,DATE
10,CARDINAL
8),CARDINAL
89,CARDINAL
1,CARDINAL
twelve months,DATE
94,CARDINAL
17,CARDINAL
ten thousand,CARDINAL
ten thousand,CARDINAL
95 act,MONEY
17,CARDINAL
one month,DATE
twelve months,DATE
twelve months,DATE
one,CARDINAL
2,CARDINAL
1,CARDINAL
96,CARDINAL
17,CARDINAL
2023,DATE
3,CARDINAL
90,CARDINAL
91,CARDINAL
five million,CARDINAL
three years,DATE
92,CARDINAL
97 act,MONEY
17,CARDINAL
2023 93,DATE
section 23,LAW
chapter 397,LAW
one,CARDINAL
sri lanka,GPE
the central bank of sri lanka,ORG
16,CARDINAL
2023,DATE
one,CARDINAL
98,CARDINAL
17,CARDINAL
2023,DATE
one,CARDINAL
section 2,LAW
third,ORDINAL
third,ORDINAL
17,CARDINAL
2023,DATE
42,CARDINAL
section 44,LAW
section 44,LAW
the asian development bank,ORG
the international development association,ORG
100,CARDINAL
17,CARDINAL
2023,DATE
treasury,ORG
sri lanka,GPE
the securities and exchange commission,ORG
sri lanka,GPE
2021,DATE
article 44,LAW
45,CARDINAL
chapter 422,LAW
the national savings bank,ORG
30,CARDINAL
1971,DATE
101 act,MONEY
17,CARDINAL
2023,DATE
29,CARDINAL
1961,DATE
41,CARDINAL
2008,DATE
1975,DATE
102,CARDINAL
17,CARDINAL
94,CARDINAL
section 18,LAW
95,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
1,CARDINAL
section 13,LAW
103,CARDINAL
17,CARDINAL
2023,DATE
2,CARDINAL
article 140,LAW
1,CARDINAL
the supreme court,ORG
one month,DATE
the supreme court,ORG
two months,DATE
3,CARDINAL
1,CARDINAL
the supreme court,ORG
article 126 of the constitution or,LAW
2,CARDINAL
4,CARDINAL
2,CARDINAL
seven days,DATE
96,CARDINAL
1,CARDINAL
2,CARDINAL
the national savings bank,ORG
sri lanka,FAC
104,CARDINAL
17,CARDINAL
2023,DATE
97,DATE
1,CARDINAL
the day,DATE
2,CARDINAL
the day,DATE
3,CARDINAL
the day,DATE
4,CARDINAL
the day,DATE
105,CARDINAL
17,CARDINAL
2023,DATE
5,CARDINAL
sri lanka,GPE
the day,DATE
106,CARDINAL
17,CARDINAL
2023,DATE
6,CARDINAL
sri lanka,GPE
the day,DATE
8),CARDINAL
the day,DATE
98,CARDINAL
107,CARDINAL
17,CARDINAL
2023,CARDINAL
6,CARDINAL
1,CARDINAL
2,CARDINAL
2011,DATE
3,CARDINAL
4,CARDINAL
securities and exchange commission,ORG
sri lanka,GPE
19,CARDINAL
108,CARDINAL
17,CARDINAL
2023,DATE
english,LANGUAGE
prakashana piyasa,PERSON
118,CARDINAL
danister de silva mawatha,PERSON
8,CARDINAL
