entity,label
17,CARDINAL
2023,DATE
7,CARDINAL
6,CARDINAL
ten years,DATE
8),CARDINAL
6,CARDINAL
sri lanka,GPE
87,CARDINAL
1,CARDINAL
sri lanka,GPE
sri lanka,GPE
section 66,LAW
90,CARDINAL
17,CARDINAL
2,CARDINAL
sri lanka,GPE
sri lanka,GPE
3,CARDINAL
sri lanka,GPE
sri lanka,GPE
4,CARDINAL
sri lanka,GPE
5,CARDINAL
sri lanka,GPE
sri lanka,GPE
6,CARDINAL
sri lanka,GPE
section 83,LAW
sri lanka,GPE
17,CARDINAL
2023,DATE
7,CARDINAL
sri lanka,GPE
sri lanka,GPE
88,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
3,CARDINAL
4,CARDINAL
1,CARDINAL
92,CARDINAL
17,CARDINAL
5,CARDINAL
6,CARDINAL
5,CARDINAL
three,CARDINAL
english,NORP
daily,DATE
sri lanka,GPE
6,CARDINAL
at least three,CARDINAL
english,NORP
sri lanka,GPE
8),CARDINAL
9,CARDINAL
