entity,label
2,CARDINAL
17,CARDINAL
2023,DATE
3,CARDINAL
4,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
5,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
17,CARDINAL
2023,DATE
4,CARDINAL
section 4,LAW
6,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
4,CARDINAL
17,CARDINAL
2023,DATE
sri lanka,GPE
2,CARDINAL
1,CARDINAL
8,CARDINAL
17,CARDINAL
2023 9,DATE
1,CARDINAL
2,CARDINAL
3,CARDINAL
4,CARDINAL
5,CARDINAL
1,CARDINAL
6,CARDINAL
17,CARDINAL
17,CARDINAL
8,CARDINAL
17,CARDINAL
6,CARDINAL
1,CARDINAL
one month,DATE
one month,DATE
8),CARDINAL
fourteen days,DATE
the period of one month,DATE
9,CARDINAL
10,CARDINAL
17,CARDINAL
2023,DATE
10,CARDINAL
9,CARDINAL
10,CARDINAL
1,CARDINAL
2,CARDINAL
section 4,LAW
11,CARDINAL
1,CARDINAL
10,CARDINAL
17,CARDINAL
2023,DATE
2,CARDINAL
1,CARDINAL
3,CARDINAL
4,CARDINAL
5,CARDINAL
6,CARDINAL
11,CARDINAL
17,CARDINAL
12,CARDINAL
17,CARDINAL
third,ORDINAL
one,CARDINAL
section 4,LAW
6,CARDINAL
13,CARDINAL
17,CARDINAL
2023,DATE
section 4,LAW
8),CARDINAL
12,CARDINAL
1,CARDINAL
1,CARDINAL
section 11,LAW
2,CARDINAL
3,CARDINAL
4,CARDINAL
third,ORDINAL
14,CARDINAL
17,CARDINAL
3,CARDINAL
4,CARDINAL
3,CARDINAL
5,CARDINAL
13,CARDINAL
1,CARDINAL
2,CARDINAL
15,CARDINAL
17,CARDINAL
2023,DATE
2,CARDINAL
3,CARDINAL
4,CARDINAL
5,CARDINAL
1,CARDINAL
section 14,LAW
16,CARDINAL
17,CARDINAL
2023,DATE
at least one,CARDINAL
thirty days,DATE
4,CARDINAL
6,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
17,CARDINAL
17,CARDINAL
2023,DATE
third,ORDINAL
transferee,CARDINAL
six months,DATE
two,CARDINAL
18,CARDINAL
17,CARDINAL
2023,DATE
the licensed bank,ORG
19,CARDINAL
17,CARDINAL
15,CARDINAL
1,CARDINAL
section 8,LAW
30,CARDINAL
31,DATE
32,DATE
33,DATE
34,DATE
2,CARDINAL
3,CARDINAL
3,CARDINAL
section 51,LAW
4,CARDINAL
20,CARDINAL
17,CARDINAL
5,CARDINAL
section 33,LAW
16,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
1,CARDINAL
3,CARDINAL
