entity,label
21,CARDINAL
17,CARDINAL
2023,DATE
4,CARDINAL
1,CARDINAL
2,CARDINAL
5,CARDINAL
6,CARDINAL
17,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
three months,DATE
3,CARDINAL
2,CARDINAL
three,CARDINAL
english,NORP
sri lanka,GPE
part ii,ORG
18,CARDINAL
1,CARDINAL
three,CARDINAL
english,LANGUAGE
22,CARDINAL
17,CARDINAL
2023 daily,DATE
sri lanka,GPE
2,CARDINAL
2,CARDINAL
1,CARDINAL
3,CARDINAL
4,CARDINAL
six months,DATE
six months,DATE
three,CARDINAL
english,NORP
sri lanka,GPE
5,CARDINAL
6,CARDINAL
2,CARDINAL
3,CARDINAL
2,CARDINAL
23,CARDINAL
17,CARDINAL
2023,DATE
7,CARDINAL
9,CARDINAL
8),CARDINAL
chapter 19,LAW
9,CARDINAL
19,CARDINAL
1,CARDINAL
section 18,LAW
1,CARDINAL
4,CARDINAL
2,CARDINAL
3,CARDINAL
4,CARDINAL
24,CARDINAL
17,CARDINAL
2023,DATE
4,CARDINAL
section 18,LAW
force-,PERSON
20,CARDINAL
thirty days,DATE
21,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
25,CARDINAL
17,CARDINAL
2023,DATE
3,CARDINAL
1,CARDINAL
section 30,LAW
4,CARDINAL
section 18,LAW
5,CARDINAL
26,CARDINAL
17,CARDINAL
2023,DATE
22,CARDINAL
1,CARDINAL
first,ORDINAL
1,CARDINAL
4,CARDINAL
section 18,LAW
2,CARDINAL
twenty working days,DATE
1,CARDINAL
23,CARDINAL
1,CARDINAL
27,CARDINAL
17,CARDINAL
2023,DATE
2,CARDINAL
1,CARDINAL
3,CARDINAL
1,CARDINAL
24,CARDINAL
1,CARDINAL
section 23,LAW
1,CARDINAL
section 23,LAW
28,CARDINAL
17,CARDINAL
2023,DATE
2,CARDINAL
3,CARDINAL
25,CARDINAL
1,CARDINAL
29,CARDINAL
17,CARDINAL
2023,DATE
2,CARDINAL
1,CARDINAL
section 5,LAW
1,CARDINAL
transferee,CARDINAL
3,CARDINAL
1,CARDINAL
1,CARDINAL
section 16,LAW
4,CARDINAL
1,CARDINAL
5,CARDINAL
26,CARDINAL
1,CARDINAL
5,CARDINAL
third,ORDINAL
third,ORDINAL
30,CARDINAL
17,CARDINAL
2023,DATE
2,CARDINAL
1,CARDINAL
3,CARDINAL
1,CARDINAL
1,CARDINAL
section 16,LAW
4,CARDINAL
1,CARDINAL
5,CARDINAL
1,CARDINAL
the day,DATE
the day,DATE
31,CARDINAL
17,CARDINAL
the day,DATE
section 28,LAW
the day,DATE
sri lanka,GPE
6,CARDINAL
1,CARDINAL
section 39,LAW
transferee,CARDINAL
27,CARDINAL
section 26,LAW
transferee,CARDINAL
32,CARDINAL
17,CARDINAL
2023,CARDINAL
transferee,CARDINAL
transferee,CARDINAL
28,CARDINAL
section 26,LAW
transferee,CARDINAL
33,CARDINAL
17,CARDINAL
2023,DATE
the day,DATE
the day,DATE
transferee,CARDINAL
34,CARDINAL
17,CARDINAL
2023,DATE
the day,DATE
transferee,CARDINAL
transferee,CARDINAL
29,CARDINAL
transferee,CARDINAL
transferee,CARDINAL
transferee,CARDINAL
transferee,CARDINAL
transferee,CARDINAL
35,CARDINAL
17,CARDINAL
2023,DATE
transferee,CARDINAL
30,CARDINAL
1,CARDINAL
6,CARDINAL
section 31,LAW
one,CARDINAL
2,CARDINAL
1,CARDINAL
three,CARDINAL
english,NORP
sri lanka,GPE
five days,DATE
3,CARDINAL
sri lanka,GPE
36,CARDINAL
17,CARDINAL
2023,DATE
4,CARDINAL
two days,DATE
1,CARDINAL
5,CARDINAL
thirty days,DATE
6,CARDINAL
the first working day,DATE
3,CARDINAL
31,CARDINAL
1,CARDINAL
section 30,LAW
2,CARDINAL
11,CARDINAL
3,CARDINAL
11,CARDINAL
4,CARDINAL
17,CARDINAL
2023,DATE
5,CARDINAL
6,CARDINAL
six months,DATE
38,CARDINAL
17,CARDINAL
2023,DATE
8),CARDINAL
8),CARDINAL
one,CARDINAL
1,CARDINAL
section 30,LAW
