entity,label
39,CARDINAL
17,CARDINAL
9,CARDINAL
1,CARDINAL
section 16,LAW
10,CARDINAL
third,ORDINAL
11,CARDINAL
the bridge bank,ORG
40,CARDINAL
17,CARDINAL
32,CARDINAL
1,CARDINAL
3,CARDINAL
4,CARDINAL
a period of,DATE
two years,DATE
the last date,DATE
2,CARDINAL
the period of two years,DATE
1,CARDINAL
3,CARDINAL
4,CARDINAL
41,CARDINAL
17,CARDINAL
2023,DATE
third,ORDINAL
4,CARDINAL
one year,DATE
five years,DATE
5,CARDINAL
2,CARDINAL
3,CARDINAL
4,CARDINAL
one month,DATE
4,CARDINAL
6,CARDINAL
2,CARDINAL
the central bank shall-,ORG
3,CARDINAL
section 51,LAW
33,CARDINAL
1,CARDINAL
2,CARDINAL
42,CARDINAL
17,CARDINAL
2023,DATE
2,CARDINAL
1,CARDINAL
section 49,LAW
3,CARDINAL
section 51,LAW
3,CARDINAL
section 30,LAW
section 36,LAW
4,CARDINAL
43,CARDINAL
17,CARDINAL
2023,DATE
5,CARDINAL
4,CARDINAL
section 15,LAW
6,CARDINAL
34,CARDINAL
1,CARDINAL
30,CARDINAL
2,CARDINAL
1,CARDINAL
44,CARDINAL
17,CARDINAL
2023,DATE
3,CARDINAL
2,CARDINAL
section 33,LAW
35,CARDINAL
1,CARDINAL
2,CARDINAL
three,CARDINAL
english,NORP
sri lanka,GPE
36,DATE
1,CARDINAL
sri lanka,GPE
2,CARDINAL
45,CARDINAL
17,CARDINAL
2023,DATE
1,CARDINAL
section 16,LAW
3,CARDINAL
2,CARDINAL
4,CARDINAL
2,CARDINAL
section 33,LAW
5,CARDINAL
37,DATE
1,CARDINAL
the ministry of finance shall exchange,ORG
2,CARDINAL
the ministry of the minister,ORG
46,CARDINAL
17,CARDINAL
2023,DATE
1,CARDINAL
38,CARDINAL
1,CARDINAL
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
2,CARDINAL
sri lanka,GPE
1,CARDINAL
47 act,MONEY
17,CARDINAL
3,CARDINAL
sri lanka,GPE
sri lanka,GPE
48,CARDINAL
17,CARDINAL
sri lanka,GPE
sri lanka,GPE
part iii sri lanka,PERSON
39,CARDINAL
sri lanka,GPE
sri lanka,FAC
9,CARDINAL
section 44,LAW
40,DATE
1,CARDINAL
49,CARDINAL
17,CARDINAL
2023,DATE
2,CARDINAL
3,CARDINAL
41,CARDINAL
1,CARDINAL
annually,DATE
one,CARDINAL
english,NORP
daily,DATE
sri lanka,GPE
2,CARDINAL
50,CARDINAL
17,CARDINAL
2023,DATE
42,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
43,CARDINAL
1,CARDINAL
3,CARDINAL
2,CARDINAL
3,CARDINAL
3,CARDINAL
51 act,MONEY
17,CARDINAL
2023,DATE
52,CARDINAL
17,CARDINAL
2023,DATE
4,CARDINAL
44,CARDINAL
1,CARDINAL
2,CARDINAL
thirty days,DATE
3,CARDINAL
1,CARDINAL
six years,DATE
17,CARDINAL
2023,DATE
4,CARDINAL
1,CARDINAL
section 49,LAW
"august 6, 2021",DATE
later than four years,DATE
5,CARDINAL
6,CARDINAL
fourteen days,DATE
5,CARDINAL
6,CARDINAL
8),CARDINAL
54,CARDINAL
17,CARDINAL
2023,CARDINAL
9,CARDINAL
8),CARDINAL
10,CARDINAL
8),CARDINAL
sri lanka,GPE
9,CARDINAL
11,CARDINAL
12,CARDINAL
13,CARDINAL
section 4,LAW
55,CARDINAL
17,CARDINAL
2023 45,DATE
1,CARDINAL
44,DATE
2,CARDINAL
46,DATE
47,DATE
seven working days,DATE
at least three,CARDINAL
english,NORP
sri lanka,GPE
56,CARDINAL
17,CARDINAL
2023,DATE
48,CARDINAL
49,DATE
1,CARDINAL
2,CARDINAL
50,DATE
1,CARDINAL
2,CARDINAL
57 act,MONEY
17,CARDINAL
section 44,LAW
51,CARDINAL
1,CARDINAL
