entity,label
17,CARDINAL
2023 62,DATE
1,CARDINAL
2,CARDINAL
3,CARDINAL
4,CARDINAL
63,CARDINAL
64,DATE
66,CARDINAL
17,CARDINAL
2023,CARDINAL
65,CARDINAL
66,CARDINAL
1,CARDINAL
one,CARDINAL
section 8,LAW
section 21,LAW
transferee,CARDINAL
67,CARDINAL
17,CARDINAL
2023,DATE
2,CARDINAL
1,CARDINAL
3,CARDINAL
2,CARDINAL
sri lanka,GPE
67,CARDINAL
1,CARDINAL
2,CARDINAL
66,CARDINAL
section 4,LAW
2,CARDINAL
1,CARDINAL
3,CARDINAL
1,CARDINAL
two months,DATE
2,CARDINAL
4,CARDINAL
section 4,LAW
3,CARDINAL
fourteen working days,DATE
68,CARDINAL
17,CARDINAL
2023,CARDINAL
1,CARDINAL
fourteen days,DATE
5,CARDINAL
4,CARDINAL
6,CARDINAL
1,CARDINAL
8),CARDINAL
section 4,LAW
9,CARDINAL
69,CARDINAL
17,CARDINAL
2023,DATE
10,CARDINAL
11,CARDINAL
the supreme court,ORG
no.10 of 1996,DATE
68.,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
1,CARDINAL
three,CARDINAL
english,NORP
sri lanka,GPE
69,CARDINAL
1,CARDINAL
section 68,LAW
70,CARDINAL
17,CARDINAL
2023,DATE
2,CARDINAL
3,CARDINAL
4,CARDINAL
5,CARDINAL
70,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
71,CARDINAL
17,CARDINAL
2023 71,DATE
1,CARDINAL
section 4,LAW
2,CARDINAL
1,CARDINAL
3,CARDINAL
2,CARDINAL
three,CARDINAL
english,NORP
sri lanka,GPE
4,CARDINAL
69,CARDINAL
70,CARDINAL
2,CARDINAL
72,CARDINAL
17,CARDINAL
2023,CARDINAL
72,CARDINAL
1,CARDINAL
a period of,DATE
three months,DATE
section 67,LAW
2,CARDINAL
1,CARDINAL
quarterly,DATE
two years,DATE
two years,DATE
17,CARDINAL
three months,DATE
two years,DATE
3,CARDINAL
1,CARDINAL
4,CARDINAL
3,CARDINAL
5,CARDINAL
three consecutive weeks,DATE
three,CARDINAL
