text,embedding_path,label
"(3) for the purpose of this section ― numbered account ‖ means an account opened with a licensed commercial bank authorized by the monetary board under repealed section 34a, that is identified only by a number, code, word or such other means as was determined by the monetary board. (4) notwithstanding the repeal of part iva by the banking (amendment) act, no. 33 of 1995, the holder of a numbered account shall, within a period of two years commencing from such date as may be determined by the monetary board by notification published in the gazette, close such account and until the close of the account be entitled to operate that account: provided however no funds shall be credited to any such numbered account, save and except any sum that may be payable as interest on the moneys deposited in such account. where the owner of a numbered account fails to close such account within the period specified, such account shall, from and after the date of expiry of that period, cease to enjoy the facilities granted to it by virtue of it being a numbered account. part v accounts, audit, information and inspection. preparation of 35. every licensed commercial bank shall prepare at the expiration of each balance sheet financial year— and profit and loss account. (a) balance sheet as at the last working day of such financial year; (b) a profit and loss account in respect of such year; balance sheet 36. (1) the balance sheet of a licensed commercial bank shall set out the state of affairs of such bank as at the end of the financial year to which such balance sheet relates. (2) there shall be shown in the balance sheet or in any statement annexed thereto and shall present as a minimum of the following — (a) capitalized expenses not represented by tangible assets under separate headings, so far as they are not written off; (b) the market value of investments; (c) the method adopted to value fixed assets if there had been any valuation of such assets during the financial year; (d) the aggregate amounts of advances after the provisions for bad and doubtful debts; (e) any increase or decrease in the provision for depreciation, renewals or diminution in the value of fixed assets; (f) cash flow statement. 30 (g) reserves, provisions and liabilities distinguishable from each other; (h) except in the case of the first balance sheet after the coming into force of this part of this act the corresponding amounts at the end of the immediately preceding financial year for all items shown in the balance sheet. profit and loss 37. there shall be shown in the profit and loss account or in any statement accounts annexed thereto (a) the amount charged to revenue by way of provision for depreciation, renewals or diminution in value of fixed assets; (b) the amount charged to revenue for sri lanka income tax and other sri lanka taxation on profits and distinguishable from such accounts, the amounts, of material, set aside or proposed to be set aside for liabilities in respect of tax due in the current year of taxation or a succeeding year; (c) the aggregate amount of dividends paid or proposed to be paid; (d) the amount of remuneration of auditors; (e) the amount charged to revenue representing the aggregate amount of the emoluments of directors; (f) the amount set aside or proposed to be set aside to, or withdrawn from, reserves; (g) under separate headings, the profit or loss or the income and expenses arising from transactions such as are not usually carried on by banking companies and are carried on owing to circumstances of an exceptional or non-recurrent nature or by a change in the basis of accounting; (h) except in the case of the first profit and loss account after the coming into force of this part of this act, the corresponding amount at the end of the immediately preceding financial year for all items shown in the profit and loss account 38. (1) every licensed commercial bank incorporated or established within publications of balance sheets sri lanka by or under any written law shall transmit within five months after the &profit and loss close of its financial year to the director of bank supervision, and publish at least accounts once within that period in a sinhala, tamil and english daily newspaper circulating [§20,33 of 199] in sri lanka, its audited balance sheet as at the close of the financial year, and its [§ 15, 2 of 2005] profit and loss account for such financial year in respect of its business in and outside sri lanka including its off-shore banking business and exhibit them in a 31 conspicuous place at each of its places of business until the balance sheet and profit and loss account for the succeeding financial year are prepared and exhibited. [§20,33 of 1995] (2) every licensed commercial bank incorporated outside sri lanka [§ 15, 2 of 2005] shall transmit to the director of bank supervision, within five months after the close of its financial year, its audited balance sheet as at the close of the financial year, and its profit and loss account for such financial year in respect of its business in sri lanka including its off-shore banking business and shall publish such balance sheet and its profit and loss account at least once in a sinhala, tamil and english daily newspaper circulating in sri lanka within such time as may be required by the director and shall exhibit them in a conspicuous place at each of its places of business until the balance sheet and profit and loss account for the succeeding financial year are prepared and exhibited. (3) the monetary board may specify the form of the balance sheet and the profit and loss account referred to in this part including any disclosure requirements to be made and where such form is specified, the balance sheet and the profit and loss account of every licensed commercial bank shall be prepared in such form as may be specified. (4) every licensed commercial bank shall within six months of the date of closure of its financial year, exhibit in a conspicuous place in each of its places of business the consolidated balance sheet as at the end of such financial year setting out the state of affairs of such commercial bank and of its subsidiary companies and associate companies until the consolidated balance sheet for the succeeding financial year is prepared and exhibited. (5) the provisions of subsection (3) and subsection (4) of section 17 and the provisions of paragraph (c) of subsection (1) of section 46, as the case may be, shall apply in determining for the purpose of subsection (4) of this section, whether a company is a subsidiary company or an associate company of a licensed commercial bank. 38a. (1) the monetary board may having regard to the need to ensure that director of bank supervision to issue experienced and competent qualified auditors are engaged in auditing the accounts list of qualified of licensed commercial banks, issue guidelines to the director of bank supervision auditors. who shall select from time to time in accordance with such guidelines, such [§21,33 of 1995] number of qualified auditors to audit the accounts of licensed commercial banks and transmit a list of such selected qualified auditors to all licensed commercial banks. (2) it shall be the duty of all licensed commercial banks to select their auditors for purpose of auditing its accounts from and out of the list transmitted under subsection (1). 39. (1) every licensed commercial bank shall appoint annually from and § 22, 33 of 1995. out of the list issued by the director of bank supervision under section 38a, a qualified auditor to audit the accounts of such bank. the duties of such auditor shall be— 32 (a) in the case of a licensed commercial bank incorporated or established within sri lanka by or under any written law, to prepare a report in respect of the accounts, balance sheet and profit and loss account examined by him, to be submitted to each of its shareholders; and (b) in the case of a licensed commercial bank incorporated outside sri lanka, to submit a report to its head office in respect of the balance sheet and profit and loss account examined by him. (2) every such report, which shall be completed within three months of the end of the financial year, shall contain a statement by the auditor as to whether in his opinion the balance sheet and profit and loss account contain a full and fair and properly drawn up statement and whether they represent a true and correct statement of the bank’s affairs, and if the auditor has called for an explanation or any information from the officers or agents of such licensed commercial bank whether such explanation or information is satisfactory. (3) the report of the auditor made in accordance with subsections (1) and (2) shall, in the case of a licensed commercial bank incorporated or established within sri lanka by or under any written law, be read together with the report of the board of directors of the licensed commercial bank at the annual general meeting of its share-holders, and, in the case of a licensed commercial bank incorporated outside sri lanka, be transmitted to the head office of such licensed commercial bank. a copy of such report shall be transmitted to the director of bank supervision. where the director of bank supervision is not satisfied with the report of the auditor, he may make a request to the monetary board for the appointment of a new auditor to submit a fresh report. (3a) notwithstanding the provisions of subsection (3), the director of § 22, 33 of 1995. bank supervision may, on receipt of the report referred to in that subsection, call upon the auditors to— (a) submit such additional information in relation to the audit, as the director of bank supervision considers necessary; (b) enlarge or extend the scope of the audit of the business and affairs of the bank; (c) carry out such other examination required by him or recommend to the licensed commercial bank any procedure in respect of a particular matter; and (d) submit a report on any of the matters referred to in paragraphs (b) and (c). (4) if a licensed commercial bank fails to appoint an auditor under subsection (1) or the director of bank supervision has made a request to the monetary board in terms of subsection (3), the monetary board shall have the power to appoint an auditor for such licensed commercial bank. 33 (5) every auditor appointed under subsection (1) or (4) shall have a right of access at all times to the books, accounts and vouchers and all documents and records belonging to the licensed commercial bank, which he considers necessary for the performance of his duties, and he shall be entitled to require from the officers of such bank such information and explanations as he thinks necessary for the performance and proper discharge of his duties and functions as auditor. (6) the remuneration of the auditor, whether appointed by the licensed commercial bank or by the monetary board, shall be paid by the licensed commercial bank and, in the case of an auditor appointed by the monetary board under subsection (4), he shall be paid such amount as may be determined by the monetary board. (7) no person having an interest in any licensed commercial bank or any director, officer, employee, agent of such licensed commercial bank shall be eligible for appointment as auditor for that licensed commercial bank. any person appointed as auditor who shall after such appointment acquire any interest in or become a director, officer, employee or agent of such licensed commercial bank shall forthwith cease to act as such auditor. (8) nothing contained in this section shall apply to the audit of the accounts of any licensed commercial bank, which is a public corporation. consequences 40. where any licensed commercial bank has, due to circumstances beyond its of failure to control, failed to comply with the provisions of section 35, or where an auditor submit audit appointed by such licensed commercial bank has, due to reasons beyond his report &c. control, failed to complete the audit report as specified, the monetary board may, on an application made by such licensed commercial bank, grant a reasonable period of time for compliance with the preceding provisions of this part. the director of 41. (1) the monetary board shall, from time to time, cause an examination of bank supervision to any licensed commercial bank or any of its subsidiaries, to be made by an officer cause an duly authorised by it, whenever it appears to the board that such examination is examination of a necessary or expedient in order to examine whether such licensed commercial bank licensed commercial bank or is in a sound financial condition and whether the carrying on of business by the any of its licensed commercial bank has been in accordance with the provisions of this act or subsidiaries. any other written law. (2) every licensed commercial bank and any subsidiary of such licensed commercial bank referred to in subsection (1) shall permit the officer authorised by the monetary board, to inspect at any time as requested by such officer all books, minutes, accounts, cash securities, vouchers, other documents and records relating to its business and shall be required furnish such information concerning its business as may be requested by such officer. (3) if any books, minutes, accounts, cash, securities, vouchers, other documents and records are not produced or information not furnished in accordance with the provisions of subsection (2) or if any information furnished or item produced is false in any material particular, the defaulting licensed 34 commercial bank or subsidiary or both, as the case may be, shall be guilty of an offence under this act. part vi disqualification for appointment as director, secretary, & c. of licensed commercial banks disqualification 42. (1) no person shall be appointed, elected or nominated as a director of a for being licensed commercial bank or continue as a director of such bank unless that person appointed or is a fit and proper person to hold office as a director of such bank and if he is not elected director. [§23,33 of 1995] prevented from doing so by any provision of this act or of any other written law. [§16,2 of 2005] (2) in determining whether a person would, for the purposes of subsection(1) be considered to be a fit and proper person, the following matters shall be taken into consideration:— (a) that such person possesses academic or professional qualifications or effective experience in banking, finance, business or administration or of any other relevant discipline; (b) that there is no finding of any regulatory or supervisory authority, professional association, any commission of inquiry, tribunal or other body established by law in sri lanka or abroad, to the effect that such person has committed or has been connected with the commission of, any act which involves fraud, deceit, dishonesty or any other improper conduct; (c) that such person is not subject to an investigation or inquiry consequent upon being served with notice of a charge involving fraud, deceit, dishonesty or other similar criminal activity, by any regulatory authority, supervisory authority, professional association, commission of inquiry, tribunal or other body established by law, in sri lanka or abroad; (d) that such person has not been convicted by any court in sri lanka or abroad in respect of a crime committed in connection with financial manangment or of any offence involving moral turpitude; (e) that such person is not an undischarged insolvent nor has he been declared bankrupt in sri lanka or abroad; (f) that such person has not failed, to satisfy any judgement or order of any court whether in sri lanka or abroad, or to repay a debt; 35",../data/subdomains/banking_law\04. Banking Act 30_1988__Accounts_ audit_ information and inspection.embedding.npy,banking_law
"(5) any company, which carries on banking business in contravention of subsection (1), shall be guilty of an offence under this act. [ § 3, 33 of 1995.] (6) for the purpose of this section ― company ― shall have the same meaning as in section 449 of the companies act no. 17 of 1982, and including a company duly incorporated outside sri lanka, or a body corporate formed in pursuance of any statute of any foreign country, royal charter or letters patent and a body corporate established by or under any written law and shall not include the central bank or a private company incorporated outside sri lanka except the banks specified in schedule i to this act. application for a 3. (1) an application for a licence shall be made in writing to the monetary board licence. in such manner as may be determined by the monetary board. [ § 3, 2 of 2005] (2) every application for a licence shall be accompanied by— (a) in the case of a company to be formed for the purpose of carrying on banking business— (i) a copy of the draft articles of association of the company to be formed or the draft constitution or any other document associated with the formation of such company and (ii) a statement containing the names, addresses, occupations and qualifications of the persons proposed as directors, and if a chief executive officer has been identified, of such officer; (b) in the case of a company formed before the date of the application and which intends to commence banking business— (i) a copy of the articles of association of such company or the constitution or any other document associated with the formation of such company, together with the proposed amendments, if any, to such documents; and (ii) a statement containing the names, addresses, occupations and qualifications of the directors of the company and any directors proposed to be nominated or appointed and of the chief executive officer of such company; (iii) a copy of the audited balance sheet and profit and loss account of the company for the preceding three years; (c) in the case of an application by a company or body corporate incorporated outside sri lanka, such company shall in addition to the documents specified in paragraph (b) submit— (i) a written undertaking supported by a resolution of the board of directors of such company or body corporate, stating that such 7 company or body corporate, as the case may be, shall on demand by the central bank, provide such funds as may be necessary to meet all obligations incurred in or in connection with, its business in sri lanka; and (ii) a report containing such information as may be determined by the monetary board, from the regulatory authority of the country in which such company or body corporate is incorporated. (3) on receipt of an application under subsection (1) by the monetary board, the director of bank supervision may, where such director considers it necessary, require the applicant to furnish to the monetary board such other documents, information or other particulars, in order to determine whether a licence shall be issued or not. (4) where on consideration of the documents, information and particulars submitted to the monetary board under subsections (1), (2) and (3) and on such further investigations as it may consider necessary, the monetary board is satisfied that the application may be approved in principle, it may issue a letter of provisional approval to the applicant. on receipt of the letter of provisional approval, the applicant shall take all preliminary measures as may be required in terms of such letter, prior to the issue of a licence under section 5, and specified in such letter. (5) the letter of provisional approval issued under subsection (4) shall be valid for the period stated in such letter. such period shall however not exceed twelve months from the date of issue of such letter and the period of validity may only be extended by the monetary board in writing, in exceptional circumstances. (6) the monetary board shall cause a copy of each letter of provisional approval issued under subsection (4) and of any communication extending the period of validity of such letter under subsection (5), or any withdrawal in terms of subsection (7), to be sent to the registrar of companies. (7) the issue of letter of provisional approval under subsection (4) shall not bind the monetary board to issue a licence under section 5 to the company or the company to be formed for the purpose of carrying on banking business (hereinafter referred to as a ""proposed company""), in respect of which the letter of provisional approval has been issued, and the monetary board may, on the basis of investigations carried out by it under subsection (10) withdraw such letter or refrain from issuing a licence under section 5 on any one or more of the following grounds:— (a) that the monetary board is not satisfied with the suitability of the company or the proposed company to be issued with a licence; (b) that the company or proposed company has not complied with the conditions stipulated in the letter of provisional approval; 8 (c) that the company or proposed company has not complied with the requirements under this act for the issue of a licence; (d) that any information contained in the application for a licence or any information submitted in connection therewith by the company or proposed company is found to be false or incorrect; or (e) that there has been, in the opinion of the monetary board, a sufficiently significant change in the economic and the banking environment of the country that warrants the suspension of the issue of licence under section 5: provided however, the monetary board shall before withdrawing a letter of provisional approval in terms of the provisions of this subsection issued to an applicant in terms of subsection (4), or if a decision is taken by the monetary board under this subsection to refrain from issuing a licence, give sufficient notice in writing to the applicant stating the grounds for such withdrawal or decision to refrain from issuing a licence and shall afford him an opportunity of being heard. (8) a company or a proposed company in respect of which a letter of provisional approval has been issued under subsection (4) shall not commence banking business before the issue of a licence under section 5. every advertisement, prospectus, notice or other publication issued by the company or proposed company before the issue of the licence shall be required to specify that it has not been issued a licence to carry on banking business under this act. (9) a licence shall not be issued under section 5 to a company formed and incorporated under the companies act no. 17 of 1982 unless (a) the company is a public company; (b) the memorandum of association of the company sets out; as its primary object, the carrying on of banking business as defined in this act; and (c ) the memorandum of association of the company restricts the other forms of business the company may carry on, if any, to any or all of the forms of business specified in schedule ii to this act. (10) (a) the monetary board may, at any time prior to the issue of a licence under section 5, conduct such investigations as it may deem necessary to satisfy itself as to the suitability of the company or proposed company to be issued with a licence, having regard to the interests of the national economy, including the banking needs of sri lanka. (b) at an investigation conducted under paragraph (a) the monetary board may require the applicant to satisfy the board on any matter relevant 9 to the suitability of the company or the proposed company and in particular — (i) the validity and acceptability of the documents and particulars submitted by the applicant; (ii) the financial status and history of the company or the proposed company; (iii) the financial standing, experience and suitability of the directors, chief executive officer and such other officers of the company performing executive functions as may be determined by the monetary board or the persons proposed to be appointed to such positions in the proposed company, as the case may be; (iv) of the adequacy of the capital of the company or based on the information furnished by the applicant on behalf of the proposed company, the ability of the proposed company to raise adequate capital; (v) of the ability of the company or the proposed company to cover all obligations and liabilities incurred in the conduct of business in sri lanka and to comply with the provisions of the act; (vi) the applicant's compliance with the provisions of the act or any directions given under the act in relation to the application for a licence under the act. (11) any person who submits information or particulars in an application for a licence or in any other document submitted in connection therewith or in the course of any inquiry or investigation conducted to ascertain the suitability of the company or the proposed company to be issued with a licence under this act, which to the knowledge of the person is false or misleading in any material particular, shall be guilty of an offence under this act. 4 (1) the monetary board may require any company or body corporate companies and bodies incorporated outside sri lanka, which has applied for a licence under section 3, to corporate, incorporated undertake to remit to sri lanka, prior to the commencement of their business in sri outside sri lanka, a sum of money, determined with the approval of the minister, in united lanka to remit states dollars, or its equivalent in any designated foreign currency. the amount so currency to sri remitted may form part of the assigned capital of such company or incorporated lanka. [ § 5, 33 of1995.] body and shall be kept as a deposit with the central bank or in such other manner as may be determined from time to time by the monetary board. (2) the monetary board may, where such board considers it necessary or expedient to do so in the interest of national economy, from time to time, make further determinations as regards the remittance of money after the expiry of a period of six months from the date of the last of such determinations. 10",../data/subdomains/banking_law\04. Banking Act 30_1988__Application for a licence.embedding.npy,banking_law
"provided, however that any measures taken under this section shall not preclude the monetary board from subsequently proceeding under section 9 where the monetary board is of the opinion that it is in the interest of the banking system to do so. (5) notice in writing of any measures taken under subsection (4) shall be given to the licensed commercial bank and to any director, manager or controller referred to in paragraph (e) of subsection (4) and such measures shall become effective from the date of the receipt of such notification or such other date as may be specified in the notice. section 30 of the 11a. nothing contained in sections 9, 10 and 11 of this act, shall in any monetary law act way affect the powers conferred on the monetary board by section 30 of the to be applicable. monetary law act. (§ 8, 33 of 1995) approval of the 12 (1) the written approval of the monetary board given with the concurrence monetary board of the minister, shall be required— necessary prior to carrying on certain (a) for a licensed commercial bank to open or close a branch, agency transactions &c. or office of such bank, in any part of sri lanka or to effect a change in the location of any existing place of business; (b) for a licensed commercial bank incorporated or established within sri lanka by or under any written law to open or close a branch, agency, or office in any place outside sri lanka; (c) for a licensed commercial bank to acquire the business or part of the business of another licensed commercial bank or a licensed specialised bank or of any branch, of another licensed commercial bank or a licensed specialised bank; (d) for banks incorporated or established outside sri lanka to open a representative office or such other place of business within sri lanka. (e) for the merger or consolidation of a licensed commercial bank or a branch thereof with any other licensed commercial bank or a licensed specialised bank or a branch thereof. (1a) an application for approval of an acquisition under paragraph (c) of subsection (1) or a merger or consolidation under paragraph (e) of subsection (1) shall include— (a) a statement of the nature of the acquisition or merger or consolidation, as the case may be; 16 (b) a copy of the proposed agreement, if any, under which the acquisition or merger or consolidation, as the case may be, is to be effected; (c) such other particulars and documents as may be prescribed. (1b) an approval under paragraph (c) of subsection (1), or paragraph (e) of subsection (1), or subsection (1c) shall not be granted, unless the monetary board is satisfied, that such acquisition or merger or consolidation is in the interest of promotion of a safe, sound and stable banking system, and the fair competition prevailing in the banking industry. when granting approval for an aquisition under subsection (1c), to an individual or a corporate body, the monetary board shall, in determining whether such individual or the directors of such corporate body, as the case may be, are fit and proper persons, have regard to the criteria set out in subsection (2) of section 42. (1c) (a) an individual, partnership or corporate body shall not, either directly or indirectly or through a nominee or acting in concert with any other individual, partnership or corporate body, acquire a material interest in a licensed commercial bank incorporated or established within sri lanka by or under any written law without the prior written approval of the monetary board given with the concurrence of the minister. (b) without prejudice to the generality of subsection (2) of this section, approval under paragraph (a) of this subsection may be granted subject to terms and conditions as the monetary board may deem fit. (c) a licensed commercial bank shall not enter in the register of members of the bank as the holder of shares of the bank, the name of any individual, partnership, corporate body, or nominee who or which has contravened the provisions of paragraph (a). for the purpose of this subsection— (i) ""acting in concert "" means acting pursuant to an understanding (whether formal or informal) to actively co-operate in acquiring a material interest in a licensed commercial bank so as to obtain or consolidate, control of that bank. (ii) ""material interest"" means the holding of over ten per centum of the issued capital of a licensed commercial bank carrying voting rights. (2) the approval under this section may be granted subject to such terms and conditions as may be specified by the monetary board with the concurrence of the minister 13 (1) the monetary board may, with the approval of the minister, on a report by the director of bank supervision, by order made in writing, withdraw the approval or vary the terms and conditions of an approval granted under section 12, including the closure of a branch, agency or office of a licensed commercial bank. notice of 17 the decision of the monetary board shall be communicated by the director of bank supervision to such bank, which shall carry out all the obligations and meet all the liabilities of the branch, agency or office. (2) any licensed commercial bank to whom notice has been issued under subsection (1) may within thirty days of the date of such order, tender objections in writing to the monetary board giving reasons why such approval shall not be withdrawn or the terms and conditions varied. (3) after the expiration of sixty days from the date of the notice and after considering the objections placed before the board under subsection (2), the monetary board shall, with the approval of the minister_ (a) by order made in writing, cancel the notice of withdrawal or the variation unconditionally; or (b) by order made in writing and published in the gazette, confirm the withdrawal or variation with or without modification. (4) where the order for the closure has been made under subsection (1), the monetary board shall direct the director of bank supervision to take all steps as may appear necessary in the circumstances, to satisfy himself that all persons who have deposited moneys in that branch, agency or office are given the opportunity to withdraw such moneys expeditiously and to ensure that such measures as would safeguard the interest of such depositors are taken. it shall be lawful for the director of bank supervision to take such steps accordingly. 13a (1) notwithstanding the provisions contained in paragraph (a) of mobile banking units subsection (1) of section 12, the deputy governor may on, guidelines issued by the monetary board for such purpose, grant approval for the establishment of mobile banking units, subject to such terms and conditions as he may determine, from time to time. (2) the deputy governor may on a report of director of bank supervision, by order made in writing withdraw the approval granted under subsection (1) or vary the terms and conditions of such approval, and notice of the decision shall be communicated to the relevant licensed commercial bank. compliance of persons 14 (1) where the governor of the central bank has reasonable grounds to believe & banks suspected of that any person is carrying on banking business in contravention of the provisions carrying on banking of this act, the governor may direct the director of bank supervision or any other business. officer of the central bank to examine the books, accounts and records of such [ § 8, 2 of 2005.] person for the purpose of ascertaining whether such person has contravened, or is contravening, any of the provisions of this act. (2) the director of bank supervision or such other officer so authorised by the governor in terms of subsection (1) may require such person to furnish to him such information or to produce for inspection any books, minutes, accounts, cash, securities, vouchers, other documents and records as he may consider necessary to obtain for the purpose of such examination, and it shall be the duty of 18 such person or bank to furnish such information and to submit to such officer for examination such books, minutes, accounts, cash, securities, vouchers, other documents and records, as the case may be, when so required. (3) any person who fails to furnish such information or to produce any books, minutes, accounts, cash, securities, vouchers, other documents and records when required to do so under subsection (2) shall be guilty of an offence under this act. (4) any refusal by any person to furnish such information or to submit such books, minutes, accounts, cash, securities, vouchers, other documents and records in contravention of the provisions of subsection (2) shall be prima facie evidence of such person carrying on banking business without a license. articles to be altered 14a. a licensed commercial bank which is a company as defined in with approval section 449 of the companies act, no. 17 of 1982, shall not alter its memorandum [ § 10, 33 of 1995.] of association and the articles of association, without the prior written approval of the monetary board. 15. the provisions of this part shall not be construed to mean that a license under section 5, or approval under section 12, shall be required for the monetary board or the central bank to exercise, perform or discharge the powers, duties or functions, in respect of banking business conferred on, or imposed on, or assigned to, the monetary board under the monetary law act or any written law. part ii banking names and descriptions 16 (1) no company other than a licensed commercial bank or a licensed restriction on the use of certain names and specialised bank shall, except with the prior written approval of the monetary descriptions. board, use as part of its name or its description any of the words ""bank"", ""banker"" [ § 9, 2 of 2005] or ""banking"", or any of its derivatives or its transliterations, or their equivalent in any other language and no licensed commercial bank or a licensed specialised bank shall carry on business in sri lanka unless it uses as part of its name at least one of such words: provided however, a licensed commercial bank or a licensed specialised bank incorporated outside sri lanka which does not have the word ""bank"", ""banker"" or ""banking"" in any language in its name may carry on business in sri lanka notwithstanding the omission of these words in its name; (2) no firm, individual or group of individuals, shall, except with the prior [ § 11, 33 of 1995] written approval of the monetary board, for the purpose of carrying on any business, use as part of its or his name or description any of the words ― bank ‖, ― banker ‖ or ― banking ‖ or any of its derivatives, or its transliterations, or their equivalent in any other language. (3) nothing in this section shall apply— [ § 9, 33 of 1995] 19 (a) to a subsidiary of a licensed commercial bank or of a licensed specialised bank established in accordance with the provisions of this act or any directions given hereunder; (b) to any association of licensed commercial banks or licensed specialised banks formed for the protection of their interests; (c) to a trade union registered under the trade union ordinance (chapter 138), which is an association or combination of workers who are employees of a banking institution within the meaning of section 127 of the monetary law act, or of the central bank or of a licensed specialised bank; (d) to an agency, institution, person or body of persons which is a banking institution in terms of paragraph (b) or paragraph (d) of the definition of the expression ""banking institution"" in section 127 of the monetary law act; (e) to the use of the words in the manner restricted under subsection (1) for the purpose of incorporating or changing the name of a company during the period of validity of a letter of provisional approval issued under section 3 or section 76b. (d) to the representative office of a licensed commercial bank or licensed specialised bank incorporated or established outside sri lanka. 17 (1) a licensed commercial bank incorporated or established in sri lanka a licensed commercial bank not shall not have as its subsidiary a company which is not a licensed commercial bank to have as its . subsidiary a company which is not a licensed commercial provided however, such bank may, with the written permission of the bank monetary board, have a subsidiary which carries on any one or more of the following businesses:— (a) carries on the business of providing training in any one of the subjects relating to banking, accountancy, valuation, project appraisal and credit appraisal; (b) carries on the business of engaging in hire purchase transactions; (c) carries on the business of providing medium and long term credit for development; (d) carries on the business of factory leasing and warehousing; (e) carries on the business of providing management consultancy services; (f) becomes the subsidiary only by reason of a licensed commercial bank having to acquire the share of a company consequent to such licensed commercial bank capitalising the capital and the interest accrued thereon and which is 20 unpaid by the company to the bank, on loans granted by the licensed commercial bank; (g) carries on any form of business which in the opinion of the monetary board is not inconsistent with the business of banking and the provision of finance: provided, further that the provisions of this subsection shall not apply to a subsidiary formed before the appointed date by any licensed commercial bank incorporated or established in sri lanka. (2) a licensed commercial bank shall not accord to any of its subsidiary companies, treatment which is more favourable than the treatment accorded to other constituents of the bank, carrying on the same business as any such subsidiary company. (3) for the purposes of this act a company shall, subject to the provisions of subsection (4) of this section, be deemed to be a subsidiary of another if, and only if— i. that other company holds more than half in nominal value of its equity share capital; or ii. that other company is a shareholder of it and controls the composition of its board of directors; or iii. the first-mentioned company is a subsidiary of any company which is that other’s subsidiary. (4) in determining whether one company is a subsidiary of another— (a) any shares held or power exercisable by that other in a fiduciary capacity shall be treated as not held or exercisable by it; (b) subject to the provisions of paragraphs (c) and (d), any shares held or power exercisable— (i) by any person as a nominee for that other except where that other is concerned only in a fiduciary capacity; or (ii) by, or by a nominee for, a subsidiary of that other, not being a subsidiary which is concerned only in a fiduciary capacity, shall be treated as held or exercisable by that other; (c) any shares held or power exercisable by any person by virtue of the provisions of any debentures of the first mentioned company or of a trust deed for securing the issue of such debentures shall be disregarded; 21 (d) any shares held or power exercisable by, or by a nominee of, that other or its subsidiary (not being held or exercisable as referred to in paragraph (c) shall be treated as not held or exercisable by that other, if the ordinary business of that other or its subsidiary, as the case may be, includes the lending of money, and the shares are held or power is exercisable as aforesaid by way of security, only for the purposes of a transaction entered into in the ordinary course of that business. (5) for the purposes of this act, a company shall be deemed to be another’s holding company if, and only if, that other is its subsidiary. (6) in this part the expression ―equity share capital‖ in relation to a company, means its issued share capital excluding any part thereof which, neither in respect of dividends nor as respects capital, carries any right to participate beyond a specified amount in a distribution. purchase of shares 17a. (1) subject to the provisions of subsection (2), a licensed fifty per cent or commercial bank shall not acquire or hold shares in any company other than a less by a licensed listed public company, and— commercial bank [ § 9, 33 of 1995] (a) any share holding acquired by such bank shall not be in excess of such percentage of its capital funds as the monetary board may determine from time to time; and (b) the aggregate amount invested in the shares of listed public companies (excluding companies which are subsidiaries of the bank) shall not exceed, such percentage of its capital funds as may be determined from time to time by the monetary board provided however, a licensed commercial bank may, without exceeding the limits specified above, acquire shares in a public company other than a listed company. if such acquisition becomes necessary for the purpose of rehabilitating such company to make it financially viable. (2) the provisions of subsection (1), shall not apply to— (a) investment in a subsidiary company of such bank which is a licensed commercial bank; (b) investments in any other subsidiary company of the bank acquired with the approval of the monetary board; (c) any shareholding which the bank might acquire in the course of the satisfaction of any debt due to such bank, or as a consequence of the underwriting of a share issue: provided that where as a result of the acquisition of these shares, the total investment of the bank exceeds the percentage of capital funds as determined by the monetary 22 board under subsection (1), the bank shall dispose of such excess shares within two years or such longer period as may be determined by the monetary board, of the date of such acquisition; (d) any acquisition or holding of shares in any company which in the opinion of the monetary board is established for the advancement and promotion of human resources development and technological development in the banking and financial sectors; (e) investments authorized by the monetary board. (3) for the purpose of this section ― listed public company‖ means any public company which has its securities listed or quoted in a stock exchange licensed under the securities and exchange commission act, no. 37 of 1987. part iii capital requirements, reserve funds and maintenance of liquid assets compliance with 18. notwithstanding anything contained in any other written law, no provisions of this part licensed commercial bank shall on or after the appointed date, commence or carry essential. on business in sri lanka unless it complies with all the requirements specified in this part. 19. (1) subject to the provisions of subsection (3), every licensed commercial bank— (a) which has been issued with a license prior to the date of commencement of this section, shall at all times maintain an equity capital in an amount not less than twenty-five million rupees; (b) which has been issued with a license after the date of commencement of this subsection, shall at all times maintain an equity capital in an amount not less than one hundred million rupees or such other amount as the monetary board may, having regard to the viability and stability of the banking system and the interest of the national economy and with the concurrence of the minister, determine from time to time. (2) ―equity capital‖ shall mean— (a) paid up capital if it is a licensed commrcial bank incorporated or established in sri lanka by or under any written law . (b) the amount assigned to such bank by the head office, if it is a licensed commercial bank incorporated or established outside sri lanka. 23",../data/subdomains/banking_law\04. Banking Act 30_1988__Approval of the Monetary Board necessary prior to carrying on certain transactions.embedding.npy,banking_law
