entity,label
300,CARDINAL
2007,DATE
399,CARDINAL
1,CARDINAL
2,CARDINAL
part xiii,ORG
400,CARDINAL
section 404,LAW
2,CARDINAL
section 402,LAW
twenty working days,DATE
first,ORDINAL
401,CARDINAL
1,CARDINAL
4,CARDINAL
one,CARDINAL
2,CARDINAL
2,CARDINAL
3,CARDINAL
4,CARDINAL
302,CARDINAL
first,ORDINAL
5,CARDINAL
4,CARDINAL
402,CARDINAL
1,CARDINAL
2,CARDINAL
ten working days,DATE
1,CARDINAL
403,CARDINAL
1,CARDINAL
2,CARDINAL
section 402,LAW
2,CARDINAL
1,CARDINAL
404,CARDINAL
1,CARDINAL
ten working days,DATE
2,CARDINAL
3,CARDINAL
seventh,ORDINAL
one,CARDINAL
304,CARDINAL
4,CARDINAL
5,CARDINAL
406,CARDINAL
405,CARDINAL
1,CARDINAL
305,CARDINAL
2,CARDINAL
1,CARDINAL
406,CARDINAL
1,CARDINAL
two months,DATE
2,CARDINAL
less than five,CARDINAL
more than ten,CARDINAL
3,CARDINAL
two months of the date,DATE
306,CARDINAL
4,CARDINAL
fifty thousand,CARDINAL
407,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
seventh,ORDINAL
ten working days,DATE
4,CARDINAL
5,CARDINAL
five working days,DATE
6,CARDINAL
4,CARDINAL
fifty thousand,CARDINAL
408,CARDINAL
409,CARDINAL
1,CARDINAL
section 407,LAW
2,CARDINAL
less than five,CARDINAL
more than ten,CARDINAL
3,CARDINAL
4,CARDINAL
5,CARDINAL
seventh,ORDINAL
410,CARDINAL
1,CARDINAL
308,CARDINAL
2,CARDINAL
fifty thousand,CARDINAL
411,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
3,CARDINAL
1,CARDINAL
1,CARDINAL
fifty thousand,CARDINAL
412,CARDINAL
1,CARDINAL
under eighteen years of age,DATE
309,MONEY
the period of two years,DATE
the period of two years,DATE
227,CARDINAL
5,CARDINAL
section 468,LAW
17,CARDINAL
213,CARDINAL
214,CARDINAL
2,CARDINAL
3,CARDINAL
1,CARDINAL
2,CARDINAL
two hundred thousand,CARDINAL
310,CARDINAL
2007,DATE
413,CARDINAL
414,CARDINAL
415,CARDINAL
1,CARDINAL
section 412,LAW
2,CARDINAL
3,CARDINAL
4,CARDINAL
5,CARDINAL
6,CARDINAL
5,CARDINAL
311,CARDINAL
7,CARDINAL
5,CARDINAL
6,CARDINAL
ten working days,DATE
8),CARDINAL
9,CARDINAL
10,CARDINAL
11,CARDINAL
4,CARDINAL
fifty thousand,CARDINAL
416,CARDINAL
1,CARDINAL
443,CARDINAL
445,CARDINAL
446,CARDINAL
312,CARDINAL
2,CARDINAL
3,CARDINAL
4,CARDINAL
3,CARDINAL
first,ORDINAL
5,CARDINAL
417,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
3,CARDINAL
1,CARDINAL
one,CARDINAL
4,CARDINAL
1,CARDINAL
5,CARDINAL
3,CARDINAL
6,CARDINAL
5,CARDINAL
two,CARDINAL
314,CARDINAL
7,CARDINAL
3,CARDINAL
ten working days,DATE
8),CARDINAL
fifty thousand,CARDINAL
418,CARDINAL
1,CARDINAL
2,CARDINAL
section 407,LAW
3,CARDINAL
one tenth,CARDINAL
419,CARDINAL
1,CARDINAL
315,CARDINAL
2,CARDINAL
five working days,DATE
1,CARDINAL
no more than,CARDINAL
3,CARDINAL
1,CARDINAL
4,CARDINAL
1,CARDINAL
ten working days,DATE
5,CARDINAL
4,CARDINAL
fifty thousand,CARDINAL
420,CARDINAL
1,CARDINAL
section 421,LAW
2,CARDINAL
316,CARDINAL
2007,DATE
421,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
ten working days,DATE
2,CARDINAL
1,CARDINAL
3,CARDINAL
6,CARDINAL
4,CARDINAL
4,CARDINAL
3,CARDINAL
ten working days,DATE
317,CARDINAL
5,CARDINAL
4,CARDINAL
3,CARDINAL
6,CARDINAL
3,CARDINAL
4,CARDINAL
3,CARDINAL
422,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
318,CARDINAL
423,CARDINAL
1,CARDINAL
information &c. documents,ORG
2,CARDINAL
1,CARDINAL
424,CARDINAL
1,CARDINAL
2,CARDINAL
less than,CARDINAL
425,DATE
1,CARDINAL
2,CARDINAL
3,CARDINAL
320,CARDINAL
3,CARDINAL
more than twenty,CARDINAL
section 407,LAW
426,CARDINAL
1,CARDINAL
453,CARDINAL
454,CARDINAL
460,CARDINAL
468,CARDINAL
469,CARDINAL
470,CARDINAL
part xiv,PERSON
427,CARDINAL
1,CARDINAL
