entity,label
385 505,CARDINAL
1,CARDINAL
sri lanka,GPE
section 43,LAW
2,CARDINAL
3,CARDINAL
part xix advisory commission 506,ORG
1,CARDINAL
the &c.,ORG
less than five,CARDINAL
more than ten,CARDINAL
one,CARDINAL
2,CARDINAL
386,CARDINAL
3,CARDINAL
4,CARDINAL
6,CARDINAL
7,CARDINAL
8),CARDINAL
three years,DATE
5,CARDINAL
6,CARDINAL
387,CARDINAL
8),CARDINAL
sri lanka,GPE
9,CARDINAL
10,CARDINAL
part xx,PERSON
507,CARDINAL
1,CARDINAL
2,CARDINAL
less than three,CARDINAL
more than five,CARDINAL
3,CARDINAL
one,CARDINAL
4,CARDINAL
6,CARDINAL
7,CARDINAL
8),CARDINAL
five years,DATE
