entity,label
190,CARDINAL
237,CARDINAL
section 234,LAW
238,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
3,CARDINAL
239,CARDINAL
two,CARDINAL
240,CARDINAL
1,CARDINAL
191 241,CARDINAL
one,CARDINAL
2,CARDINAL
section 49,LAW
192,CARDINAL
2,CARDINAL
3,CARDINAL
one,CARDINAL
241,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
193,CARDINAL
3,CARDINAL
less than,CARDINAL
section 93,LAW
4,CARDINAL
less than,CARDINAL
194,CARDINAL
2007,DATE
normal business hours,TIME
5,CARDINAL
section 92,LAW
6,CARDINAL
2,CARDINAL
two hundred thousand,CARDINAL
8),CARDINAL
195,CARDINAL
9,CARDINAL
8),CARDINAL
242,CARDINAL
1,CARDINAL
first,ORDINAL
section 240,LAW
section 241,LAW
first,ORDINAL
196,CARDINAL
2,CARDINAL
two,CARDINAL
section 240,LAW
one,CARDINAL
3,CARDINAL
less than,CARDINAL
197,CARDINAL
4,CARDINAL
5,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
2,CARDINAL
6,CARDINAL
5,CARDINAL
two hundred thousand,CARDINAL
243,CARDINAL
2,CARDINAL
section 241,LAW
5,CARDINAL
section 242,LAW
section 203,LAW
198,CARDINAL
2,CARDINAL
section 221,LAW
244,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
245,CARDINAL
one,CARDINAL
246,CARDINAL
1,CARDINAL
three months,DATE
fourteen days,DATE
200,CARDINAL
2,CARDINAL
1,CARDINAL
3,CARDINAL
1,CARDINAL
one month,DATE
4,CARDINAL
5,CARDINAL
three,CARDINAL
daily,DATE
six years,DATE
6,CARDINAL
4,CARDINAL
247,CARDINAL
