entity,label
368,CARDINAL
2,CARDINAL
1,CARDINAL
one hundred thousand,CARDINAL
fifty thousand,CARDINAL
xvii,PERSON
485,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
4,CARDINAL
first,ORDINAL
5,CARDINAL
1861,DATE
1897,DATE
145,CARDINAL
suffix,GPE
6,CARDINAL
5,CARDINAL
370,CARDINAL
section 487,LAW
486,CARDINAL
1,CARDINAL
1,CARDINAL
section 15,LAW
2,CARDINAL
3,CARDINAL
first,ORDINAL
17,CARDINAL
487,CARDINAL
1,CARDINAL
2,CARDINAL
companies &c.,ORG
2,CARDINAL
twelve months,DATE
6,CARDINAL
section 485,LAW
3,CARDINAL
2,CARDINAL
daily,DATE
english,LANGUAGE
2007,DATE
371,CARDINAL
six months,DATE
4,CARDINAL
the period of six months,DATE
3,CARDINAL
2,CARDINAL
5,CARDINAL
3,CARDINAL
488,CARDINAL
sri lanka,GPE
sri lanka,GPE
