entity,label
208,CARDINAL
2007,DATE
255,CARDINAL
256,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
209,CARDINAL
3,CARDINAL
210,CARDINAL
4,CARDINAL
ten working days,DATE
5,CARDINAL
4,CARDINAL
one hundred thousand,CARDINAL
fifty thousand,CARDINAL
257,CARDINAL
1,CARDINAL
section 256,LAW
2,CARDINAL
section 256,LAW
211,CARDINAL
2,CARDINAL
1,CARDINAL
3,CARDINAL
ten working days,DATE
4,CARDINAL
3,CARDINAL
one hundred thousand,CARDINAL
fifty thousand,CARDINAL
258,CARDINAL
section 256,LAW
259,CARDINAL
section 256,LAW
212,CARDINAL
2007,DATE
260,CARDINAL
261,CARDINAL
1,CARDINAL
sri lanka,GPE
sri lanka,GPE
2,CARDINAL
1,CARDINAL
english,LANGUAGE
one,CARDINAL
sri lanka,GPE
sri lanka,GPE
