entity,label
fifty thousand,CARDINAL
4,CARDINAL
5,CARDINAL
1,CARDINAL
2,CARDINAL
13,CARDINAL
first,ORDINAL
12,CARDINAL
14,CARDINAL
first,ORDINAL
schedule hereto,PERSON
15,CARDINAL
1,CARDINAL
first,ORDINAL
2,CARDINAL
ten working days,DATE
3,CARDINAL
2,CARDINAL
fifty thousand,CARDINAL
fifty thousand,CARDINAL
13 16,DATE
section 89,LAW
17,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
2,CARDINAL
section 233,LAW
section 188,LAW
14,CARDINAL
18,CARDINAL
1,CARDINAL
2,CARDINAL
five working days,DATE
2,CARDINAL
1,CARDINAL
more than five hundred,CARDINAL
the previous six months,DATE
3,CARDINAL
1,CARDINAL
two hundred thousand,CARDINAL
one hundred thousand,CARDINAL
19,CARDINAL
1,CARDINAL
two,CARDINAL
