entity,label
387,CARDINAL
8),CARDINAL
sri lanka,GPE
9,CARDINAL
10,CARDINAL
part xx,PERSON
507,CARDINAL
1,CARDINAL
2,CARDINAL
less than three,CARDINAL
more than five,CARDINAL
3,CARDINAL
one,CARDINAL
4,CARDINAL
6,CARDINAL
7,CARDINAL
8),CARDINAL
five years,DATE
388,CARDINAL
5,CARDINAL
6,CARDINAL
7,CARDINAL
8),CARDINAL
sri lanka,GPE
9,CARDINAL
10,CARDINAL
508,CARDINAL
1,CARDINAL
389,CARDINAL
2,CARDINAL
3,CARDINAL
5,CARDINAL
three months,DATE
390,CARDINAL
2007,DATE
509,CARDINAL
510,CARDINAL
1,CARDINAL
section 508,LAW
2,CARDINAL
3,CARDINAL
3,CARDINAL
2007,DATE
391,CARDINAL
511,CARDINAL
one million,CARDINAL
five years,DATE
512,CARDINAL
1,CARDINAL
one million,CARDINAL
five years,DATE
513,CARDINAL
fifty thousand,CARDINAL
