entity,label
6,CARDINAL
4,CARDINAL
5,CARDINAL
32,DATE
two,CARDINAL
section 203,LAW
section 221,LAW
24,CARDINAL
33,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
first,ORDINAL
34,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
4,CARDINAL
5,CARDINAL
section 8,LAW
3,CARDINAL
1,CARDINAL
4,CARDINAL
5,CARDINAL
6,CARDINAL
1,CARDINAL
3,CARDINAL
3,CARDINAL
4,CARDINAL
section 8,LAW
6,CARDINAL
26,CARDINAL
8),CARDINAL
35,DATE
1,CARDINAL
third,ORDINAL
2,CARDINAL
1,CARDINAL
one,CARDINAL
36,CARDINAL
