entity,label
14,CARDINAL
18,CARDINAL
1,CARDINAL
2,CARDINAL
five working days,DATE
2,CARDINAL
1,CARDINAL
more than five hundred,CARDINAL
the previous six months,DATE
3,CARDINAL
1,CARDINAL
two hundred thousand,CARDINAL
one hundred thousand,CARDINAL
19,CARDINAL
1,CARDINAL
two,CARDINAL
2,CARDINAL
1,CARDINAL
sri lanka,GPE
sri lanka,GPE
3,CARDINAL
20,CARDINAL
1,CARDINAL
section 19,LAW
16,CARDINAL
2,CARDINAL
1,CARDINAL
3,CARDINAL
chapter 122,LAW
21,CARDINAL
1,CARDINAL
section 223,LAW
annual,DATE
2,CARDINAL
1,CARDINAL
22,CARDINAL
3,CARDINAL
105,CARDINAL
23,CARDINAL
1,CARDINAL
24,CARDINAL
25,CARDINAL
