entity,label
4,CARDINAL
3,CARDINAL
6,CARDINAL
7,CARDINAL
1,CARDINAL
section 34,LAW
2,CARDINAL
3,CARDINAL
1,CARDINAL
one,CARDINAL
first,ORDINAL
6,CARDINAL
section 6,LAW
8,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
ten working days,DATE
3,CARDINAL
4,CARDINAL
5,CARDINAL
subsection(2,PERSON
fifty thousand,CARDINAL
fifty thousand,CARDINAL
9,CARDINAL
1,CARDINAL
thirty working days,DATE
2,CARDINAL
section 8,LAW
twenty working days,DATE
8,CARDINAL
3,CARDINAL
1,CARDINAL
2,CARDINAL
fifty thousand,CARDINAL
10,CARDINAL
1,CARDINAL
section 7,LAW
section 6,LAW
three months,DATE
section 9,LAW
first,ORDINAL
first,ORDINAL
9,CARDINAL
2,CARDINAL
1,CARDINAL
a period of,DATE
six weeks,DATE
3,CARDINAL
two hundred thousand,CARDINAL
11,CARDINAL
1,CARDINAL
1,CARDINAL
8,CARDINAL
2,CARDINAL
section 29,LAW
1,CARDINAL
section 8,LAW
3,CARDINAL
1,CARDINAL
section 8,LAW
4,CARDINAL
1,CARDINAL
section 8,LAW
5,CARDINAL
ten working days,DATE
3,CARDINAL
4,CARDINAL
section 8,LAW
10,CARDINAL
6,CARDINAL
5,CARDINAL
fifty thousand,CARDINAL
fifty thousand,CARDINAL
12,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
1,CARDINAL
2,CARDINAL
fifty thousand,CARDINAL
fifty thousand,CARDINAL
4,CARDINAL
5,CARDINAL
1,CARDINAL
2,CARDINAL
13,CARDINAL
first,ORDINAL
