entity,label
4,CARDINAL
247,CARDINAL
202,CARDINAL
248,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
249,CARDINAL
1,CARDINAL
2,CARDINAL
seventh,ORDINAL
two,CARDINAL
normal business hours,TIME
section 250,LAW
204,CARDINAL
1,CARDINAL
250,CARDINAL
1,CARDINAL
seventh,ORDINAL
5,CARDINAL
2,CARDINAL
more than one,CARDINAL
section 249,LAW
3,CARDINAL
more than one,CARDINAL
4,CARDINAL
251,MONEY
1,CARDINAL
section 250,LAW
2,CARDINAL
252,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
206,CARDINAL
3,CARDINAL
section 249,LAW
4,CARDINAL
3,CARDINAL
253,CARDINAL
1,CARDINAL
250,CARDINAL
207,CARDINAL
2,CARDINAL
section 250,LAW
254,CARDINAL
ninth,ORDINAL
208,CARDINAL
2007,DATE
255,CARDINAL
256,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
