entity,label
414,CARDINAL
533,CARDINAL
1,CARDINAL
17,CARDINAL
1982,DATE
2,CARDINAL
19,CARDINAL
1974,DATE
1975,DATE
534,CARDINAL
first,ORDINAL
first,ORDINAL
2,CARDINAL
no. 10 of 1996,CARDINAL
2,CARDINAL
first,ORDINAL
14,CARDINAL
articles a.,PERSON
1,CARDINAL
1,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
3,CARDINAL
section 51,LAW
2,CARDINAL
section 49,LAW
2,CARDINAL
section 51,LAW
2,CARDINAL
3,CARDINAL
2,CARDINAL
1,CARDINAL
ten per cent,MONEY
daily,DATE
2,CARDINAL
1,CARDINAL
3,CARDINAL
article 1 applies,LAW
4,CARDINAL
lien,PERSON
ten working days,DATE
5,CARDINAL
4,CARDINAL
first,ORDINAL
lien,PERSON
416,CARDINAL
3,CARDINAL
1,CARDINAL
section 56,LAW
2,CARDINAL
2,CARDINAL
3,CARDINAL
4,CARDINAL
1,CARDINAL
sri lanka,GPE
4,CARDINAL
section 124,LAW
2,CARDINAL
transferee,CARDINAL
3,CARDINAL
six weeks,DATE
one week,DATE
4,CARDINAL
2007,DATE
417,CARDINAL
5,CARDINAL
3,CARDINAL
6,CARDINAL
two moths,DATE
b. meetings,PERSON
5,CARDINAL
6,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
418,CARDINAL
4,CARDINAL
less than thirty days,DATE
8,CARDINAL
1,CARDINAL
3,CARDINAL
2,CARDINAL
3,CARDINAL
thirty minutes,TIME
the same day,DATE
the following week,DATE
thirty minutes,TIME
9,CARDINAL
1,CARDINAL
2,CARDINAL
fifteen minutes,TIME
one,CARDINAL
419 10,CARDINAL
1,CARDINAL
article 7,LAW
2,CARDINAL
article 7,LAW
3,CARDINAL
4,CARDINAL
4,CARDINAL
less than five,CARDINAL
less than ten,CARDINAL
5,CARDINAL
6,CARDINAL
11,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
420,CARDINAL
4,CARDINAL
12. minutes,TIME
1,CARDINAL
that minutes,TIME
2) minutes,TIME
13,CARDINAL
142,CARDINAL
142,CARDINAL
5,CARDINAL
section 142,LAW
14,CARDINAL
15,CARDINAL
two,CARDINAL
first,ORDINAL
16,CARDINAL
17,CARDINAL
annual,DATE
1,CARDINAL
2,CARDINAL
3,CARDINAL
annual,DATE
later than six months,DATE
later than fifteen months,DATE
annual,DATE
2,CARDINAL
first,ORDINAL
annual,DATE
the calendar year,DATE
eighteen months,DATE
3,CARDINAL
ten,CARDINAL
4,CARDINAL
annual,DATE
5,CARDINAL
five working days,DATE
4,CARDINAL
6,CARDINAL
4,CARDINAL
18,CARDINAL
section 99,LAW
19,CARDINAL
1,CARDINAL
422,CARDINAL
the day,DATE
2,CARDINAL
1,CARDINAL
more than thirty,CARDINAL
3,CARDINAL
1,CARDINAL
the day,DATE
4,CARDINAL
3,CARDINAL
transferee,CARDINAL
3,CARDINAL
5,CARDINAL
3,CARDINAL
normal business hours,TIME
c. directors,PERSON
20,CARDINAL
1,CARDINAL
423,CARDINAL
2,CARDINAL
4,CARDINAL
article 17,LAW
one,CARDINAL
two,CARDINAL
first,ORDINAL
3,CARDINAL
4,CARDINAL
3,CARDINAL
2,CARDINAL
21,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
424,CARDINAL
22,CARDINAL
1,CARDINAL
192,CARDINAL
2,CARDINAL
3,CARDINAL
3,CARDINAL
third,ORDINAL
third,ORDINAL
425,CARDINAL
4,CARDINAL
2,CARDINAL
216,CARDINAL
218,CARDINAL
5,CARDINAL
6,CARDINAL
