entity,label
320,CARDINAL
3,CARDINAL
more than twenty,CARDINAL
section 407,LAW
426,CARDINAL
1,CARDINAL
453,CARDINAL
454,CARDINAL
460,CARDINAL
468,CARDINAL
469,CARDINAL
470,CARDINAL
part xiv,PERSON
427,CARDINAL
1,CARDINAL
321,CARDINAL
2,CARDINAL
3,CARDINAL
117,CARDINAL
89,CARDINAL
428,CARDINAL
1,CARDINAL
1,CARDINAL
section 19,LAW
2,CARDINAL
117,CARDINAL
3,CARDINAL
117,CARDINAL
322,CARDINAL
16 to 22,CARDINAL
117,CARDINAL
4,CARDINAL
17,CARDINAL
20,CARDINAL
117,CARDINAL
sri lanka,GPE
5,CARDINAL
section 63,LAW
89,CARDINAL
429,CARDINAL
1,CARDINAL
eleventh,ORDINAL
2,CARDINAL
2007,DATE
323 430,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
4,CARDINAL
3,CARDINAL
2,CARDINAL
4,CARDINAL
2,CARDINAL
324,CARDINAL
431,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
more than one,CARDINAL
4,CARDINAL
5,CARDINAL
2,CARDINAL
1,CARDINAL
section 440,LAW
326,CARDINAL
6,CARDINAL
3,CARDINAL
section 427,LAW
117,CARDINAL
117,CARDINAL
432,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
1,CARDINAL
3,CARDINAL
section 102,LAW
103,CARDINAL
108,CARDINAL
3,CARDINAL
1,CARDINAL
3,CARDINAL
102,CARDINAL
103,CARDINAL
108,CARDINAL
2,CARDINAL
4,CARDINAL
5,CARDINAL
433,CARDINAL
1,CARDINAL
328,CARDINAL
2,CARDINAL
3,CARDINAL
2,CARDINAL
4,CARDINAL
5,CARDINAL
2,CARDINAL
1,CARDINAL
section 440,LAW
6,CARDINAL
89,CARDINAL
330,CARDINAL
2007,DATE
434,CARDINAL
1,CARDINAL
ninth,ORDINAL
1,CARDINAL
