entity,label
4,CARDINAL
compaly,GPE
1,CARDINAL
fifty thousand,CARDINAL
fifty thousand,CARDINAL
112,CARDINAL
sri lanka,GPE
sri lanka,GPE
113,CARDINAL
1,CARDINAL
sri lanka,GPE
2,CARDINAL
section 114,LAW
3,CARDINAL
88,CARDINAL
2007,DATE
114,CARDINAL
1,CARDINAL
2,CARDINAL
2,CARDINAL
five working days,DATE
115,CARDINAL
1,CARDINAL
2,CARDINAL
section 472,LAW
3,CARDINAL
five working days,DATE
4,CARDINAL
fifty thousand,CARDINAL
fifty thousand,CARDINAL
116,CARDINAL
1,CARDINAL
3,CARDINAL
minutes,TIME
the last ten years,DATE
the last ten years,DATE
the last ten years,DATE
section 223,LAW
90,CARDINAL
the last ten years,DATE
annual,DATE
section 166,LAW
109,CARDINAL
110,CARDINAL
2,CARDINAL
1,CARDINAL
1,CARDINAL
ten years,DATE
ten,CARDINAL
3,CARDINAL
1,CARDINAL
sri lanka,GPE
4,CARDINAL
1,CARDINAL
section 124,LAW
1,CARDINAL
section 149,LAW
4,CARDINAL
ten working days,DATE
first,ORDINAL
5,CARDINAL
1,CARDINAL
4,CARDINAL
two hundred thousand,CARDINAL
one hundred thousand,CARDINAL
117,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
2,CARDINAL
two hundred thousand,CARDINAL
92,CARDINAL
one hundred thousand,CARDINAL
118,CARDINAL
1,CARDINAL
2,CARDINAL
2,CARDINAL
119,CARDINAL
1,CARDINAL
section 120,LAW
a) minutes,TIME
the preceding ten years,DATE
annual,DATE
2,CARDINAL
1,CARDINAL
two hundred thousand,CARDINAL
one hundred thousand,CARDINAL
120,CARDINAL
1,CARDINAL
121,CARDINAL
109,CARDINAL
110,CARDINAL
2,CARDINAL
1,CARDINAL
two hundred thousand,CARDINAL
94,CARDINAL
one hundred thousand,CARDINAL
121,CARDINAL
1,CARDINAL
section 119 or section 120,LAW
between the hours of 9.00 a.m.,TIME
4.00 p.m.,TIME
each working day,DATE
2,CARDINAL
1,CARDINAL
3,CARDINAL
the third working day after the day,DATE
the eighth working day,DATE
the day,DATE
122,CARDINAL
1,CARDINAL
section 120,LAW
five working days,DATE
2,CARDINAL
1,CARDINAL
one hundred thousand,CARDINAL
fifty thousand,CARDINAL
2007,DATE
95,CARDINAL
123,CARDINAL
1,CARDINAL
the last ten years,DATE
the last ten years,DATE
the last ten years,DATE
2,CARDINAL
1,CARDINAL
two hundred thousand,CARDINAL
one hundred thousand,CARDINAL
124,CARDINAL
1,CARDINAL
two,CARDINAL
96,CARDINAL
2,CARDINAL
sri lanka,GPE
3,CARDINAL
two,CARDINAL
ten working days,DATE
ten working days,DATE
4,CARDINAL
ten working days,DATE
5,CARDINAL
two,CARDINAL
two,CARDINAL
6,CARDINAL
3,CARDINAL
4,CARDINAL
one hundred thousand,CARDINAL
fifty thousand,CARDINAL
125,CARDINAL
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
126,CARDINAL
1,CARDINAL
more than fifty,CARDINAL
ten working days,DATE
2,CARDINAL
3,CARDINAL
2,CARDINAL
section 129,LAW
4,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
one hundred thousand,CARDINAL
fifty thousand,CARDINAL
98,CARDINAL
127,CARDINAL
gazette,PERSON
thirty working days,DATE
each year,DATE
128,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
4,CARDINAL
ten working days,DATE
