entity,label
2007,DATE
393 516,CARDINAL
1,CARDINAL
2,CARDINAL
517,CARDINAL
518,CARDINAL
more than twenty,CARDINAL
519,CARDINAL
1,CARDINAL
more than twenty,CARDINAL
more than twenty,CARDINAL
2,CARDINAL
more than twenty,CARDINAL
sri lanka,GPE
sri lanka,GPE
394,CARDINAL
sri lanka,GPE
sri lanka,GPE
3,CARDINAL
1,CARDINAL
2,CARDINAL
4,CARDINAL
more than twenty,CARDINAL
1,CARDINAL
2,CARDINAL
fifty thousand,CARDINAL
395,CARDINAL
520,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
4,CARDINAL
521,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
396,CARDINAL
2,CARDINAL
first,ORDINAL
3,CARDINAL
2,CARDINAL
4,CARDINAL
2,CARDINAL
5,CARDINAL
2,CARDINAL
3,CARDINAL
3,CARDINAL
522,CARDINAL
523,CARDINAL
524,CARDINAL
525,CARDINAL
398,CARDINAL
526,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
527,CARDINAL
1,CARDINAL
2,CARDINAL
399,CARDINAL
3,CARDINAL
528,CARDINAL
529,CARDINAL
1,CARDINAL
a year,DATE
annual,DATE
section 131,LAW
1861,DATE
1897,DATE
first,ORDINAL
145,CARDINAL
first,ORDINAL
17,CARDINAL
400,CARDINAL
the 31st day of march,DATE
only one,CARDINAL
section 2,LAW
401,CARDINAL
187,CARDINAL
188,CARDINAL
189,CARDINAL
190,CARDINAL
197,CARDINAL
374,CARDINAL
377,CARDINAL
187,CARDINAL
195,CARDINAL
197,CARDINAL
374,CARDINAL
377,CARDINAL
402,CARDINAL
section 60,LAW
2007,DATE
403,CARDINAL
1861,DATE
1897,DATE
145,CARDINAL
17,CARDINAL
404,CARDINAL
section 479,LAW
2007,DATE
405,CARDINAL
406,CARDINAL
section 66,LAW
section 473,LAW
section 15,LAW
section 86,LAW
section 58,LAW
more than half,CARDINAL
407,CARDINAL
more than half,CARDINAL
more than half,CARDINAL
first,ORDINAL
one,CARDINAL
408,CARDINAL
first,ORDINAL
saturday,DATE
sunday,DATE
2,CARDINAL
two,CARDINAL
3,CARDINAL
only one,CARDINAL
410,CARDINAL
only one,CARDINAL
sri lanka,GPE
4,CARDINAL
at least one,CARDINAL
at least one,CARDINAL
daily,DATE
english,NORP
more than one,CARDINAL
2007,DATE
411,CARDINAL
530,CARDINAL
1,CARDINAL
5,CARDINAL
10,CARDINAL
412,CARDINAL
2007,DATE
2,CARDINAL
145,CARDINAL
17,CARDINAL
1982,DATE
3,CARDINAL
section 532,LAW
the day,DATE
the day,DATE
531,CARDINAL
145,CARDINAL
17,CARDINAL
1982,DATE
1861,DATE
1897,DATE
first,ORDINAL
145,CARDINAL
first,ORDINAL
17,CARDINAL
1982,DATE
532,CARDINAL
1,CARDINAL
2,CARDINAL
2,CARDINAL
1,CARDINAL
414,CARDINAL
533,CARDINAL
1,CARDINAL
17,CARDINAL
1982,DATE
2,CARDINAL
19,CARDINAL
1974,DATE
1975,DATE
534,CARDINAL
first,ORDINAL
first,ORDINAL
2,CARDINAL
no. 10 of 1996,CARDINAL
2,CARDINAL
first,ORDINAL
14,CARDINAL
articles a.,PERSON
1,CARDINAL
1,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
3,CARDINAL
section 51,LAW
2,CARDINAL
section 49,LAW
2,CARDINAL
section 51,LAW
2,CARDINAL
3,CARDINAL
