entity,label
449 section 301(powers,QUANTITY
section 311,LAW
ninth,ORDINAL
section 365,ORG
2,CARDINAL
1,CARDINAL
first,ORDINAL
2.,CARDINAL
1,CARDINAL
one,CARDINAL
that year,DATE
2006,DATE
one,CARDINAL
four,CARDINAL
14,CARDINAL
450,CARDINAL
twelve months,DATE
4,CARDINAL
the four months,DATE
section 24,LAW
4,CARDINAL
3.,CARDINAL
2,CARDINAL
section 254,LAW
4.,CARDINAL
2,CARDINAL
twelve thousand,CARDINAL
5.,CARDINAL
2(i,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
8,CARDINAL
452,CARDINAL
tenth,ORDINAL
5,CARDINAL
1,CARDINAL
2,CARDINAL
3.,CARDINAL
4.,CARDINAL
3,CARDINAL
less than,CARDINAL
3,CARDINAL
more than twenty,CARDINAL
5,CARDINAL
3,CARDINAL
6,CARDINAL
2,CARDINAL
each working day,DATE
less than ten,CARDINAL
3,CARDINAL
3,CARDINAL
292,CARDINAL
