entity,label
2007,DATE
391,CARDINAL
511,CARDINAL
one million,CARDINAL
five years,DATE
512,CARDINAL
1,CARDINAL
one million,CARDINAL
five years,DATE
513,CARDINAL
fifty thousand,CARDINAL
392,CARDINAL
514,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
3,CARDINAL
1,CARDINAL
a period of,DATE
one month,DATE
515,CARDINAL
2007,DATE
393 516,CARDINAL
1,CARDINAL
2,CARDINAL
517,CARDINAL
518,CARDINAL
more than twenty,CARDINAL
519,CARDINAL
1,CARDINAL
more than twenty,CARDINAL
more than twenty,CARDINAL
2,CARDINAL
more than twenty,CARDINAL
sri lanka,GPE
sri lanka,GPE
