entity,label
2007,DATE
371,CARDINAL
six months,DATE
4,CARDINAL
the period of six months,DATE
3,CARDINAL
2,CARDINAL
5,CARDINAL
3,CARDINAL
488,CARDINAL
sri lanka,GPE
sri lanka,GPE
372,CARDINAL
sri lanka,GPE
sri lanka,GPE
section 489,LAW
489,CARDINAL
1,CARDINAL
sri lanka,GPE
sri lanka,GPE
one month,DATE
sri lanka,GPE
english,LANGUAGE
one,CARDINAL
sri lanka,GPE
sri lanka,GPE
recent date,DATE
2,CARDINAL
the period of one month,DATE
1,CARDINAL
3,CARDINAL
sri lanka,GPE
sri lanka,GPE
4,CARDINAL
a period of,DATE
one month,DATE
1,CARDINAL
4,CARDINAL
sri lanka,GPE
17,CARDINAL
1982,DATE
3,CARDINAL
17,CARDINAL
1982,DATE
5,CARDINAL
1,CARDINAL
3,CARDINAL
374,CARDINAL
2007,DATE
6,CARDINAL
the period of one month,DATE
3,CARDINAL
sri lanka,GPE
sri lanka,GPE
490,CARDINAL
sri lanka,GPE
491,CARDINAL
documents &c.,ORG
sri lanka,GPE
375,CARDINAL
492,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
sri lanka,GPE
english,LANGUAGE
493,CARDINAL
1,CARDINAL
section 7,LAW
1,CARDINAL
section 10,LAW
2,CARDINAL
1,CARDINAL
3,CARDINAL
2,CARDINAL
3,CARDINAL
section 489,LAW
376,CARDINAL
section 491,LAW
4,CARDINAL
1,CARDINAL
sri lanka,GPE
5,CARDINAL
4,CARDINAL
sri lanka,GPE
6,CARDINAL
1,CARDINAL
377,CARDINAL
7,CARDINAL
1,CARDINAL
two months,DATE
sri lanka,GPE
8),CARDINAL
two hundred thousand,CARDINAL
one hundred thousand,CARDINAL
494,CARDINAL
sri lanka,GPE
sri lanka,GPE
378,CARDINAL
495,CARDINAL
1,CARDINAL
2,CARDINAL
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
496,CARDINAL
sri lanka,GPE
sri lanka,GPE
379 497,CARDINAL
1,CARDINAL
sri lanka,GPE
sri lanka,GPE
thirteenth,ORDINAL
2,CARDINAL
1,CARDINAL
section 496,LAW
sri lanka,GPE
498,CARDINAL
fifty thousand,CARDINAL
499,CARDINAL
1,CARDINAL
ten working days,DATE
2,CARDINAL
1,CARDINAL
380,CARDINAL
3,CARDINAL
1,CARDINAL
500,CARDINAL
1,CARDINAL
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
english,LANGUAGE
sri lanka,GPE
sri lanka,GPE
381,CARDINAL
fourth,ORDINAL
more than two years,DATE
fourth,ORDINAL
3,CARDINAL
2,CARDINAL
1,CARDINAL
3,CARDINAL
sri lanka,GPE
1,CARDINAL
sri lanka,GPE
1,CARDINAL
501,CARDINAL
4,CARDINAL
1,CARDINAL
382,CARDINAL
17,CARDINAL
fourth,ORDINAL
5,CARDINAL
383,CARDINAL
6,CARDINAL
501,CARDINAL
1,CARDINAL
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
section 47,LAW
2,CARDINAL
384,CARDINAL
2007,DATE
502,CARDINAL
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
sri lanka,GPE
section 501,LAW
fourth,ORDINAL
30,CARDINAL
503,CARDINAL
section 500,LAW
section 501,LAW
section 502,LAW
section 500,LAW
section 502,LAW
fifty thousand,CARDINAL
504,CARDINAL
section 41,LAW
sri lanka,GPE
sri lanka,GPE
section 38,LAW
501,CARDINAL
385 505,CARDINAL
1,CARDINAL
sri lanka,GPE
section 43,LAW
2,CARDINAL
3,CARDINAL
part xix advisory commission 506,ORG
1,CARDINAL
the &c.,ORG
less than five,CARDINAL
more than ten,CARDINAL
one,CARDINAL
2,CARDINAL
