entity,label
19,CARDINAL
3,CARDINAL
section 23,LAW
1,CARDINAL
25,CARDINAL
26,CARDINAL
27,CARDINAL
fifty,CARDINAL
20,CARDINAL
28,CARDINAL
1,CARDINAL
section 27,LAW
30,CARDINAL
31,CARDINAL
section 11,LAW
2,CARDINAL
section 27,LAW
30,CARDINAL
31,CARDINAL
section 11,LAW
3,CARDINAL
2,CARDINAL
21 29,DATE
section 27,LAW
section11,LOC
30,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
31,CARDINAL
1,CARDINAL
second,ORDINAL
2,CARDINAL
1,CARDINAL
22,CARDINAL
3,CARDINAL
2,CARDINAL
4,CARDINAL
3,CARDINAL
5,CARDINAL
6,CARDINAL
4,CARDINAL
5,CARDINAL
32,DATE
two,CARDINAL
section 203,LAW
section 221,LAW
