entity,label
212,CARDINAL
2007,DATE
260,CARDINAL
261,CARDINAL
1,CARDINAL
sri lanka,GPE
sri lanka,GPE
2,CARDINAL
1,CARDINAL
english,LANGUAGE
one,CARDINAL
sri lanka,GPE
sri lanka,GPE
213,CARDINAL
3,CARDINAL
262,CARDINAL
1,CARDINAL
3,CARDINAL
4,CARDINAL
sri lanka,GPE
sri lanka,GPE
2,CARDINAL
3,CARDINAL
214,CARDINAL
4,CARDINAL
5,CARDINAL
263,CARDINAL
calendar year,DATE
that year,DATE
the thirty first day of january of that year,DATE
the thirty- first day of january of that year,DATE
1,CARDINAL
section 262,LAW
that year,DATE
1,CARDINAL
sri lanka,GPE
sri lanka,GPE
2,CARDINAL
1,CARDINAL
sri lanka,GPE
265,CARDINAL
1,CARDINAL
266,CARDINAL
267,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
