entity,label
330,CARDINAL
2007,DATE
434,CARDINAL
1,CARDINAL
ninth,ORDINAL
1,CARDINAL
435,CARDINAL
332,CARDINAL
436,CARDINAL
1,CARDINAL
under eighteen years of age,DATE
the period of two years,DATE
the period of two years,DATE
227,CARDINAL
5,CARDINAL
section 468,LAW
17,CARDINAL
213,CARDINAL
214,CARDINAL
2,CARDINAL
3,CARDINAL
1,CARDINAL
2,CARDINAL
two hundred thousand,CARDINAL
437,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
4,CARDINAL
334,CARDINAL
89,CARDINAL
438,CARDINAL
1,CARDINAL
two,CARDINAL
2,CARDINAL
two,CARDINAL
439,CARDINAL
1,CARDINAL
335,CARDINAL
2,CARDINAL
3,CARDINAL
89,CARDINAL
440,CARDINAL
1,CARDINAL
336,CARDINAL
2,CARDINAL
3,CARDINAL
fifty thousand,CARDINAL
441,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
1,CARDINAL
2,CARDINAL
4,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
2,CARDINAL
fifty thousand,CARDINAL
442,CARDINAL
1,CARDINAL
section 436,LAW
337,CARDINAL
2,CARDINAL
less than five,CARDINAL
3,CARDINAL
4,CARDINAL
5,CARDINAL
6,CARDINAL
3,CARDINAL
fifty thousand,CARDINAL
443,CARDINAL
1,CARDINAL
2,CARDINAL
twelfth,ORDINAL
338,CARDINAL
444,CARDINAL
1,CARDINAL
two,CARDINAL
2,CARDINAL
two,CARDINAL
two,CARDINAL
3,CARDINAL
4,CARDINAL
second,ORDINAL
first,ORDINAL
4,CARDINAL
3,CARDINAL
339,CARDINAL
5,CARDINAL
6,CARDINAL
two,CARDINAL
445,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
3,CARDINAL
1,CARDINAL
446,CARDINAL
1,CARDINAL
2,CARDINAL
section 19,LAW
3,CARDINAL
340,CARDINAL
4,CARDINAL
3,CARDINAL
447,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
448,CARDINAL
1,CARDINAL
2,CARDINAL
341,CARDINAL
2,CARDINAL
449,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
3,CARDINAL
342,CARDINAL
450,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
1,CARDINAL
2,CARDINAL
4,CARDINAL
2,CARDINAL
1,CARDINAL
3,CARDINAL
5,CARDINAL
section 451,LAW
451,CARDINAL
343 452,CARDINAL
section 451,LAW
section 451,LAW
453,CARDINAL
454,CARDINAL
1,CARDINAL
2,CARDINAL
less than five years,DATE
455,CARDINAL
1,CARDINAL
later than two months,DATE
first,ORDINAL
344,CARDINAL
2,CARDINAL
1,CARDINAL
3,CARDINAL
345,CARDINAL
4,CARDINAL
fifty thousand,CARDINAL
456,CARDINAL
1,CARDINAL
two months,DATE
six months,DATE
2,CARDINAL
1,CARDINAL
3,CARDINAL
1,CARDINAL
346,CARDINAL
2007,DATE
4,CARDINAL
fifty thousand,CARDINAL
457,CARDINAL
1,CARDINAL
section 455,LAW
458,CARDINAL
1,CARDINAL
455,CARDINAL
2,CARDINAL
section 455,LAW
3,CARDINAL
section 455,LAW
347,CARDINAL
4,CARDINAL
ten working days,DATE
section 455,LAW
section 456,LAW
5,CARDINAL
fifty thousand,CARDINAL
459,CARDINAL
section 458,LAW
normal office hours,TIME
460,CARDINAL
1,CARDINAL
sri lanka,GPE
1987,DATE
2,CARDINAL
1,CARDINAL
3,CARDINAL
1,CARDINAL
fifty thousand,CARDINAL
461,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
fifty thousand,CARDINAL
348,CARDINAL
2007,DATE
462,CARDINAL
1,CARDINAL
2,CARDINAL
section 449,LAW
3,CARDINAL
3,CARDINAL
first,ORDINAL
second,ORDINAL
third,ORDINAL
ninth,ORDINAL
1,CARDINAL
7,CARDINAL
4,CARDINAL
ninth,ORDINAL
463,CARDINAL
1,CARDINAL
2,CARDINAL
2,CARDINAL
1,CARDINAL
3,CARDINAL
2,CARDINAL
4,CARDINAL
2,CARDINAL
464,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
ten working days,DATE
350,CARDINAL
2,CARDINAL
1,CARDINAL
3,CARDINAL
1,CARDINAL
4,CARDINAL
3,CARDINAL
5,CARDINAL
6,CARDINAL
6,CARDINAL
5,CARDINAL
ten working days,DATE
6,CARDINAL
8),CARDINAL
5,CARDINAL
6,CARDINAL
5,CARDINAL
9,CARDINAL
10,CARDINAL
465,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
3,CARDINAL
1,CARDINAL
352,CARDINAL
2007,DATE
466,CARDINAL
2,CARDINAL
3,CARDINAL
3,CARDINAL
2,CARDINAL
353,CARDINAL
4,CARDINAL
1,CARDINAL
2,CARDINAL
5,CARDINAL
3,CARDINAL
2,CARDINAL
6,CARDINAL
1,CARDINAL
3,CARDINAL
1,CARDINAL
6,CARDINAL
467,CARDINAL
1,CARDINAL
2,CARDINAL
354,CARDINAL
2,CARDINAL
1,CARDINAL
3,CARDINAL
less than,CARDINAL
4,CARDINAL
1,CARDINAL
5,CARDINAL
6,CARDINAL
468,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
less than,CARDINAL
3,CARDINAL
4,CARDINAL
3,CARDINAL
section 436,LAW
section 436,LAW
356,CARDINAL
5,CARDINAL
five years,DATE
6,CARDINAL
8),CARDINAL
5,CARDINAL
ten working days,DATE
9,CARDINAL
two,CARDINAL
the preceding five years,DATE
10,CARDINAL
469,CARDINAL
358,CARDINAL
2007,DATE
470,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
2007,DATE
359,CARDINAL
471,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
472,CARDINAL
1,CARDINAL
fifteen working days,DATE
2,CARDINAL
