entity,label
2007,DATE
359,CARDINAL
471,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
472,CARDINAL
1,CARDINAL
fifteen working days,DATE
2,CARDINAL
360,CARDINAL
473,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
4,CARDINAL
2,CARDINAL
4,CARDINAL
3,CARDINAL
5,CARDINAL
361,CARDINAL
6,CARDINAL
474,CARDINAL
475,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
2,CARDINAL
362,CARDINAL
476,CARDINAL
1,CARDINAL
english,LANGUAGE
2,CARDINAL
1,CARDINAL
477,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
478,CARDINAL
479,CARDINAL
1,CARDINAL
the ministry of the minister,ORG
2,CARDINAL
two-thirds,CARDINAL
3,CARDINAL
one-third,CARDINAL
364,CARDINAL
4,CARDINAL
5,CARDINAL
the ministry of the minister,ORG
each financial year,DATE
6,CARDINAL
article 154,LAW
480,CARDINAL
1,CARDINAL
2,CARDINAL
section 473,LAW
2,CARDINAL
2,CARDINAL
section 473,LAW
2,CARDINAL
section 473,LAW
3,CARDINAL
1,CARDINAL
2,CARDINAL
172,CARDINAL
173,CARDINAL
180,CARDINAL
2,CARDINAL
section 170,LAW
17,CARDINAL
4,CARDINAL
5,CARDINAL
sri lanka,GPE
6,CARDINAL
3,CARDINAL
two hundred thousand,CARDINAL
366,CARDINAL
481,CARDINAL
1,CARDINAL
ten working days,DATE
2,CARDINAL
1,CARDINAL
3,CARDINAL
1,CARDINAL
482,CARDINAL
five hundred thousand,QUANTITY
two years,DATE
483,CARDINAL
1,CARDINAL
2007,DATE
367,CARDINAL
2,CARDINAL
1,CARDINAL
3,CARDINAL
484,CARDINAL
1,CARDINAL
368,CARDINAL
2,CARDINAL
1,CARDINAL
one hundred thousand,CARDINAL
fifty thousand,CARDINAL
xvii,PERSON
485,CARDINAL
1,CARDINAL
