entity,label
section 94,LAW
101,CARDINAL
section 99,LAW
102,CARDINAL
1,CARDINAL
3,CARDINAL
2,CARDINAL
78,CARDINAL
36,CARDINAL
2003,DATE
86,CARDINAL
14 of 1990,DATE
3,CARDINAL
sri lanka,GPE
twenty-one,CARDINAL
sri lanka,GPE
three months of the date,DATE
4,CARDINAL
sri lanka,GPE
sri lanka,GPE
79,DATE
5,CARDINAL
6,CARDINAL
fifteen working days,DATE
one,CARDINAL
more than one,CARDINAL
80,CARDINAL
8),CARDINAL
9,CARDINAL
8),CARDINAL
10,CARDINAL
11,CARDINAL
fifty,CARDINAL
fifty thousand,CARDINAL
12,CARDINAL
13,CARDINAL
103,CARDINAL
1,CARDINAL
section 91,LAW
17,CARDINAL
section 97,LAW
17,CARDINAL
2,CARDINAL
3,CARDINAL
"july 2, 1982",DATE
section 91,LAW
17,CARDINAL
1982,DATE
104,CARDINAL
1,CARDINAL
sri lanka,GPE
82,CARDINAL
2007,DATE
2,CARDINAL
2,CARDINAL
1,CARDINAL
sri lanka,GPE
three months of the date,DATE
twenty-one,CARDINAL
3,CARDINAL
fifty thousand,CARDINAL
fifty thousand,CARDINAL
105,CARDINAL
1,CARDINAL
8),CARDINAL
2,CARDINAL
3,CARDINAL
106,CARDINAL
1,CARDINAL
105,CARDINAL
2,CARDINAL
1,CARDINAL
84,CARDINAL
3,CARDINAL
two hundred thousand,CARDINAL
107,CARDINAL
108,CARDINAL
85,CARDINAL
109,CARDINAL
section 116,LAW
one,CARDINAL
110,CARDINAL
1,CARDINAL
section 116,LAW
2,CARDINAL
two hundred thousand,CARDINAL
86,CARDINAL
111,CARDINAL
1,CARDINAL
fifteen working days,DATE
17,CARDINAL
1982,DATE
145,CARDINAL
2,CARDINAL
1,CARDINAL
3,CARDINAL
4,CARDINAL
compaly,GPE
1,CARDINAL
fifty thousand,CARDINAL
fifty thousand,CARDINAL
112,CARDINAL
sri lanka,GPE
sri lanka,GPE
113,CARDINAL
1,CARDINAL
sri lanka,GPE
2,CARDINAL
section 114,LAW
3,CARDINAL
