entity,label
433,CARDINAL
5,CARDINAL
second,ORDINAL
section 31,LAW
42,CARDINAL
1,CARDINAL
second,ORDINAL
section 31,LAW
1,CARDINAL
section 52,LAW
section 53,LAW
section 56,LAW
section 61,LAW
section 64,LAW
section 70,LAW
section 90,LAW
section 99,LAW
section 193,LAW
434,CARDINAL
third,ORDINAL
section 35,LAW
1,CARDINAL
93 to 98,CARDINAL
99,CARDINAL
101,CARDINAL
3,CARDINAL
198,CARDINAL
200,CARDINAL
fifth,ORDINAL
annual,DATE
fourth,ORDINAL
1,CARDINAL
1,CARDINAL
the period of five years,DATE
2,CARDINAL
3,CARDINAL
4.,CARDINAL
5,CARDINAL
