entity,label
sixth,ORDINAL
186,CARDINAL
section 51,LAW
section 52,LAW
section 56,LAW
section 58,LAW
2,CARDINAL
3,CARDINAL
section 59,LAW
4,CARDINAL
section 64,LAW
section 67,LAW
section 70,LAW
section 241,LAW
seventh,ORDINAL
1,CARDINAL
444,CARDINAL
7,CARDINAL
2,CARDINAL
1,CARDINAL
1,CARDINAL
1(b,CARDINAL
1,CARDINAL
less than five,CARDINAL
2,CARDINAL
3,CARDINAL
445,CARDINAL
4,CARDINAL
5,CARDINAL
6,CARDINAL
1,CARDINAL
less than thirty days,DATE
3.,CARDINAL
1,CARDINAL
1,CARDINAL
2,CARDINAL
one,CARDINAL
3,CARDINAL
1,CARDINAL
4.,CARDINAL
1,CARDINAL
three,CARDINAL
three,CARDINAL
2,CARDINAL
thirty minutes,TIME
the same day,DATE
the following week,DATE
thirty minutes,TIME
5,CARDINAL
1,CARDINAL
section 250 or section 407,LAW
446,CARDINAL
2,CARDINAL
section 250 or section 407,LAW
seventy-five,CARDINAL
3,CARDINAL
6,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
twelve months,DATE
4,CARDINAL
twenty-four hours,TIME
1,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
447,CARDINAL
4,CARDINAL
twenty-four hours,TIME
1,CARDINAL
5,CARDINAL
6,CARDINAL
5,CARDINAL
448,CARDINAL
8.,TIME
1,CARDINAL
that minutes,TIME
2) minutes,TIME
9,CARDINAL
10,CARDINAL
eighth,ORDINAL
355,CARDINAL
2,CARDINAL
section 283,LAW
section 289,LAW
section 299,LAW
