entity,label
26,CARDINAL
8),CARDINAL
35,DATE
1,CARDINAL
third,ORDINAL
2,CARDINAL
1,CARDINAL
one,CARDINAL
36,CARDINAL
27 37,DATE
1,CARDINAL
fourth,ORDINAL
2,CARDINAL
3,CARDINAL
4,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
two hundred thousand,CARDINAL
28,CARDINAL
5,CARDINAL
17,CARDINAL
fourth,ORDINAL
6,CARDINAL
8),CARDINAL
section 40,LAW
1-25,CARDINAL
7,CARDINAL
29,CARDINAL
38,CARDINAL
1,CARDINAL
2,CARDINAL
two hundred thousand,CARDINAL
3,CARDINAL
39,CARDINAL
1,CARDINAL
30,CARDINAL
2,CARDINAL
3,CARDINAL
4,CARDINAL
two hundred thousand,CARDINAL
31 40,DATE
1,CARDINAL
section 38,LAW
fourth,ORDINAL
30,CARDINAL
2,CARDINAL
32,CARDINAL
3,CARDINAL
section 36,LAW
4,CARDINAL
1,CARDINAL
two hundred thousand,CARDINAL
41,CARDINAL
1,CARDINAL
section 38,LAW
2,CARDINAL
1,CARDINAL
34,CARDINAL
section 38,LAW
section 38,LAW
3,CARDINAL
1,CARDINAL
section 38,LAW
2007,DATE
35,CARDINAL
section 38,LAW
4,CARDINAL
section 38,LAW
36,CARDINAL
section 38,LAW
5,CARDINAL
6,CARDINAL
section 38,LAW
37 42,DATE
1,CARDINAL
five hundred thousand,QUANTITY
two years,DATE
2,CARDINAL
section 38,LAW
3,CARDINAL
1,CARDINAL
43,CARDINAL
1,CARDINAL
38,CARDINAL
2,CARDINAL
six months,DATE
3,CARDINAL
section 40,LAW
section 37,LAW
4,CARDINAL
two,CARDINAL
less than half,CARDINAL
39 44,DATE
45,DATE
1,CARDINAL
5,CARDINAL
fourth,ORDINAL
2,CARDINAL
1,CARDINAL
sixty days,DATE
seventy-five days,DATE
40,CARDINAL
2007,DATE
the seventy-fifth day,DATE
3,CARDINAL
4,CARDINAL
first,ORDINAL
46,DATE
1,CARDINAL
section 45,LAW
one month,DATE
2,CARDINAL
section 45,LAW
two years,DATE
47,DATE
1,CARDINAL
the third day,DATE
first,ORDINAL
2,CARDINAL
1,CARDINAL
the day,DATE
first,ORDINAL
first,ORDINAL
the third day,DATE
first,ORDINAL
first,ORDINAL
3,CARDINAL
two hundred thousand,CARDINAL
one hundred thousand,CARDINAL
4,CARDINAL
5,CARDINAL
the third day,DATE
third day,DATE
section 41,LAW
42,CARDINAL
6,CARDINAL
the third day after any day,DATE
the third day,DATE
the first day,DATE
48,DATE
1,CARDINAL
2,CARDINAL
1,CARDINAL
43,CARDINAL
49,DATE
1,CARDINAL
2,CARDINAL
one,CARDINAL
3,CARDINAL
4,CARDINAL
5,CARDINAL
50,CARDINAL
1,CARDINAL
section 5,LAW
44,CARDINAL
2,CARDINAL
244,CARDINAL
51,CARDINAL
1,CARDINAL
52,CARDINAL
53,DATE
2,CARDINAL
2,CARDINAL
section 49,LAW
3,CARDINAL
subsection(2,PERSON
section 15,LAW
4,CARDINAL
twenty working days,DATE
subsection(2,PERSON
section 58,LAW
2,CARDINAL
45,DATE
5,CARDINAL
