entity,label
1,CARDINAL
sri lanka,GPE
sri lanka,GPE
2,CARDINAL
1,CARDINAL
sri lanka,GPE
265,CARDINAL
1,CARDINAL
266,CARDINAL
267,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
216,CARDINAL
2007,DATE
268,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
269,CARDINAL
1,CARDINAL
2,CARDINAL
one year,DATE
one year,DATE
2,CARDINAL
1,CARDINAL
1,CARDINAL
3,CARDINAL
270,CARDINAL
a year,DATE
one year,DATE
2,CARDINAL
section 4,LAW
271,CARDINAL
fifty thousand,CARDINAL
three weeks,DATE
218,CARDINAL
272,CARDINAL
1,CARDINAL
2,CARDINAL
section 4,LAW
at least six months,DATE
the eighteen months,DATE
3,CARDINAL
section 177,LAW
2,CARDINAL
273,CARDINAL
1,CARDINAL
2,CARDINAL
220,CARDINAL
274,CARDINAL
sri lanka,GPE
275,CARDINAL
276,CARDINAL
1,CARDINAL
&c. court,ORG
2,CARDINAL
2,CARDINAL
221,CARDINAL
277,CARDINAL
1,CARDINAL
2,CARDINAL
278,CARDINAL
279,CARDINAL
1,CARDINAL
2,CARDINAL
2,CARDINAL
280,CARDINAL
222,CARDINAL
2007,DATE
281,CARDINAL
282,CARDINAL
283,CARDINAL
1,CARDINAL
2,CARDINAL
1,CARDINAL
one,CARDINAL
223,CARDINAL
one year,DATE
the said year,DATE
3,CARDINAL
1,CARDINAL
fourteen days,DATE
4,CARDINAL
5,CARDINAL
two hundred thousand,CARDINAL
6,CARDINAL
224,CARDINAL
7,CARDINAL
8),CARDINAL
284,CARDINAL
1,CARDINAL
windingup,ORG
section 283,LAW
2,CARDINAL
225,CARDINAL
3,CARDINAL
2,CARDINAL
285,CARDINAL
286,CARDINAL
1,CARDINAL
2,CARDINAL
287,CARDINAL
226,CARDINAL
288,CARDINAL
289,CARDINAL
1,CARDINAL
227,CARDINAL
2,CARDINAL
more than one,CARDINAL
3,CARDINAL
4,CARDINAL
more than one,CARDINAL
5,CARDINAL
290,CARDINAL
windingup,ORG
291,CARDINAL
228,CARDINAL
292,CARDINAL
1,CARDINAL
229,CARDINAL
2,CARDINAL
230,CARDINAL
88,CARDINAL
3,CARDINAL
293,CARDINAL
1,CARDINAL
2,CARDINAL
231,CARDINAL
one- tenth,CARDINAL
3,CARDINAL
4,CARDINAL
5,CARDINAL
294,CARDINAL
minutes,TIME
295,CARDINAL
1,CARDINAL
one,CARDINAL
2,CARDINAL
296,CARDINAL
1,CARDINAL
each year,DATE
232,CARDINAL
2,CARDINAL
3,CARDINAL
4,CARDINAL
one,CARDINAL
5,CARDINAL
297,CARDINAL
1,CARDINAL
2,CARDINAL
233,CARDINAL
3,CARDINAL
298,CARDINAL
1,CARDINAL
2,CARDINAL
3,CARDINAL
4,CARDINAL
234,CARDINAL
299,CARDINAL
1,CARDINAL
2,CARDINAL
